site_id,year,wheat_harvest,gap_days,late
hebei_central,1982,1982-05-29,17,False
hebei_central,1983,1983-05-30,16,False
hebei_central,1984,1984-06-06,9,False
hebei_central,1985,1985-06-05,10,False
hebei_central,1986,1986-06-06,9,False
hebei_central,1987,1987-06-06,9,False
hebei_central,1988,1988-06-06,9,False
hebei_central,1989,1989-05-24,22,False
hebei_central,1990,1990-06-03,12,False
hebei_central,1991,1991-06-04,11,False
hebei_central,1992,1992-06-01,14,False
hebei_central,1993,1993-06-03,12,False
hebei_central,1994,1994-05-31,15,False
hebei_central,1995,1995-05-28,18,False
hebei_central,1996,1996-05-31,15,False
hebei_central,1997,1997-05-29,17,False
hebei_central,1998,1998-05-25,21,False
hebei_central,1999,1999-05-18,28,False
hebei_central,2000,2000-05-24,22,False
hebei_central,2001,2001-06-01,14,False
hebei_central,2002,2002-05-19,27,False
hebei_central,2003,2003-06-06,9,False
hebei_central,2004,2004-05-25,21,False
hebei_central,2005,2005-05-31,15,False
hebei_central,2006,2006-05-21,25,False
hebei_central,2007,2007-05-20,26,False
hebei_central,2008,2008-05-27,19,False
hebei_central,2009,2009-05-20,26,False
hebei_central,2010,2010-06-08,7,False
hebei_central,2011,2011-05-30,16,False
hebei_central,2012,2012-05-30,16,False
hebei_central,2013,2013-06-05,10,False
hebei_central,2014,2014-05-22,24,False
hebei_central,2015,2015-05-22,24,False
hebei_central,2016,2016-05-26,20,False
hebei_central,2017,2017-05-22,24,False
hebei_central,2018,2018-05-27,19,False
hebei_central,2019,2019-05-24,22,False
hebei_central,2020,2020-05-24,22,False
hebei_central,2021,2021-05-19,27,False
hebei_central,2022,2022-05-25,21,False
hebei_central,2023,2023-05-21,25,False
hebei_central,2024,2024-05-22,24,False
hebei_central,2025,2025-05-10,36,False
henan_north,1982,1982-06-04,11,False
henan_north,1983,1983-06-01,14,False
henan_north,1984,1984-06-06,9,False
henan_north,1985,1985-06-08,7,False
henan_north,1986,1986-06-05,10,False
henan_north,1987,1987-06-06,9,False
henan_north,1988,1988-06-06,9,False
henan_north,1989,1989-06-01,14,False
henan_north,1990,1990-06-05,10,False
henan_north,1991,1991-06-05,10,False
henan_north,1992,1992-05-31,15,False
henan_north,1993,1993-06-06,9,False
henan_north,1994,1994-06-04,11,False
henan_north,1995,1995-05-31,15,False
henan_north,1996,1996-06-05,10,False
henan_north,1997,1997-05-31,15,False
henan_north,1998,1998-05-29,17,False
henan_north,1999,1999-05-16,30,False
henan_north,2000,2000-05-25,21,False
henan_north,2001,2001-06-04,11,False
henan_north,2002,2002-05-23,23,False
henan_north,2003,2003-06-06,9,False
henan_north,2004,2004-05-27,19,False
henan_north,2005,2005-06-02,13,False
henan_north,2006,2006-05-26,20,False
henan_north,2007,2007-05-17,29,False
henan_north,2008,2008-05-27,19,False
henan_north,2009,2009-05-21,25,False
henan_north,2010,2010-06-07,8,False
henan_north,2011,2011-06-01,14,False
henan_north,2012,2012-05-31,15,False
henan_north,2013,2013-05-31,15,False
henan_north,2014,2014-05-21,25,False
henan_north,2015,2015-05-23,23,False
henan_north,2016,2016-05-26,20,False
henan_north,2017,2017-05-21,25,False
henan_north,2018,2018-05-21,25,False
henan_north,2019,2019-05-26,20,False
henan_north,2020,2020-05-18,28,False
henan_north,2021,2021-05-19,27,False
henan_north,2022,2022-05-24,22,False
henan_north,2023,2023-05-19,27,False
henan_north,2024,2024-05-19,27,False
henan_north,2025,2025-05-11,35,False
shaanxi_guanzhong,1982,1982-06-08,7,False
shaanxi_guanzhong,1983,1983-06-04,11,False
shaanxi_guanzhong,1984,1984-06-02,13,False
shaanxi_guanzhong,1985,1985-06-05,10,False
shaanxi_guanzhong,1986,1986-06-05,10,False
shaanxi_guanzhong,1987,1987-05-31,15,False
shaanxi_guanzhong,1988,1988-06-05,10,False
shaanxi_guanzhong,1989,1989-06-04,11,False
shaanxi_guanzhong,1990,1990-06-03,12,False
shaanxi_guanzhong,1991,1991-05-28,18,False
shaanxi_guanzhong,1992,1992-05-27,19,False
shaanxi_guanzhong,1993,1993-06-06,9,False
shaanxi_guanzhong,1994,1994-06-04,11,False
shaanxi_guanzhong,1995,1995-05-29,17,False
shaanxi_guanzhong,1996,1996-06-04,11,False
shaanxi_guanzhong,1997,1997-05-26,20,False
shaanxi_guanzhong,1998,1998-05-26,20,False
shaanxi_guanzhong,1999,1999-05-12,34,False
shaanxi_guanzhong,2000,2000-05-21,25,False
shaanxi_guanzhong,2001,2001-05-27,19,False
shaanxi_guanzhong,2002,2002-05-18,28,False
shaanxi_guanzhong,2003,2003-05-24,22,False
shaanxi_guanzhong,2004,2004-05-22,24,False
shaanxi_guanzhong,2005,2005-05-24,22,False
shaanxi_guanzhong,2006,2006-05-25,21,False
shaanxi_guanzhong,2007,2007-05-16,30,False
shaanxi_guanzhong,2008,2008-05-26,20,False
shaanxi_guanzhong,2009,2009-05-20,26,False
shaanxi_guanzhong,2010,2010-05-31,15,False
shaanxi_guanzhong,2011,2011-05-29,17,False
shaanxi_guanzhong,2012,2012-05-27,19,False
shaanxi_guanzhong,2013,2013-05-20,26,False
shaanxi_guanzhong,2014,2014-05-22,24,False
shaanxi_guanzhong,2015,2015-05-22,24,False
shaanxi_guanzhong,2016,2016-05-17,29,False
shaanxi_guanzhong,2017,2017-05-14,32,False
shaanxi_guanzhong,2018,2018-05-17,29,False
shaanxi_guanzhong,2019,2019-05-18,28,False
shaanxi_guanzhong,2020,2020-05-13,33,False
shaanxi_guanzhong,2021,2021-05-16,30,False
shaanxi_guanzhong,2022,2022-05-19,27,False
shaanxi_guanzhong,2023,2023-05-16,30,False
shaanxi_guanzhong,2024,2024-05-11,35,False
shaanxi_guanzhong,2025,2025-05-10,36,False
beijing_plain,1982,1982-05-29,17,False
beijing_plain,1983,1983-05-27,19,False
beijing_plain,1984,1984-06-01,14,False
beijing_plain,1985,1985-06-02,13,False
beijing_plain,1986,1986-06-01,14,False
beijing_plain,1987,1987-06-08,7,False
beijing_plain,1988,1988-06-04,11,False
beijing_plain,1989,1989-05-23,23,False
beijing_plain,1990,1990-05-30,16,False
beijing_plain,1991,1991-05-31,15,False
beijing_plain,1992,1992-05-30,16,False
beijing_plain,1993,1993-06-02,13,False
beijing_plain,1994,1994-05-28,18,False
beijing_plain,1995,1995-05-26,20,False
beijing_plain,1996,1996-05-30,16,False
beijing_plain,1997,1997-05-27,19,False
beijing_plain,1998,1998-05-18,28,False
beijing_plain,1999,1999-05-24,22,False
beijing_plain,2000,2000-05-24,22,False
beijing_plain,2001,2001-05-30,16,False
beijing_plain,2002,2002-05-16,30,False
beijing_plain,2003,2003-05-31,15,False
beijing_plain,2004,2004-05-25,21,False
beijing_plain,2005,2005-05-26,20,False
beijing_plain,2006,2006-05-23,23,False
beijing_plain,2007,2007-05-20,26,False
beijing_plain,2008,2008-05-26,20,False
beijing_plain,2009,2009-05-22,24,False
beijing_plain,2010,2010-06-07,8,False
beijing_plain,2011,2011-05-30,16,False
beijing_plain,2012,2012-05-24,22,False
beijing_plain,2013,2013-06-03,12,False
beijing_plain,2014,2014-05-18,28,False
beijing_plain,2015,2015-05-22,24,False
beijing_plain,2016,2016-05-23,23,False
beijing_plain,2017,2017-05-21,25,False
beijing_plain,2018,2018-05-29,17,False
beijing_plain,2019,2019-05-23,23,False
beijing_plain,2020,2020-05-22,24,False
beijing_plain,2021,2021-05-22,24,False
beijing_plain,2022,2022-05-27,19,False
beijing_plain,2023,2023-05-20,26,False
beijing_plain,2024,2024-05-19,27,False
beijing_plain,2025,2025-05-13,33,False
