=== beijing_plain / loam / joint ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     13 |             - |             -
     2 |       96 |     26 |  0.1001464792 |         ideal
     3 |      144 |     42 |  0.0334973020 |         ideal
     4 |      192 |     43 |  0.0382365459 |         ideal
     5 |      240 |     48 |  0.0381898212 |         ideal
     6 |      288 |     48 |  0.0153909245 |         ideal
     7 |      336 |     48 |  0.0108316502 |         ideal
     8 |      384 |     48 |  0.2395172475 |         nadir
     9 |      432 |     48 |  0.0374815386 |         ideal
    10 |      480 |     48 |  0.0247825093 |         ideal
    11 |      528 |     48 |  0.0317937696 |         ideal
    12 |      576 |     48 |  0.0219842887 |         ideal
    13 |      624 |     48 |  0.0558719863 |         nadir
    14 |      672 |     48 |  0.2122527984 |         nadir
    15 |      720 |     48 |  0.0048100095 |         ideal
    16 |      768 |     48 |  0.2821155949 |         nadir
    17 |      816 |     48 |  0.1972586008 |         nadir
    18 |      864 |     48 |  0.0168239280 |         ideal
    19 |      912 |     48 |  0.0065842590 |         nadir
    20 |      960 |     48 |  0.0196427288 |         ideal
    21 |     1008 |     48 |  0.0248272985 |             f
    22 |     1056 |     48 |  0.0216689647 |         nadir
    23 |     1104 |     48 |  0.4309002810 |         nadir
    24 |     1152 |     48 |  0.2909551113 |         nadir
    25 |     1200 |     48 |  0.0698643728 |         nadir
    26 |     1248 |     48 |  0.0335790484 |         ideal
    27 |     1296 |     48 |  0.1550661786 |         nadir
    28 |     1344 |     48 |  0.0320908541 |         nadir
    29 |     1392 |     48 |  0.0171931593 |         ideal
    30 |     1440 |     48 |  0.0252135590 |             f
=== beijing_plain / loam / fixed_best ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     13 |             - |             -
     2 |       96 |     25 |  0.0925914484 |         ideal
     3 |      144 |     42 |  0.1143196644 |         ideal
     4 |      192 |     46 |  0.0282485876 |         ideal
     5 |      240 |     48 |  0.1448540826 |         ideal
     6 |      288 |     48 |  0.0051028411 |         ideal
     7 |      336 |     48 |  0.0920521107 |         ideal
     8 |      384 |     48 |  0.1266573016 |         ideal
     9 |      432 |     48 |  0.0185926107 |             f
    10 |      480 |     48 |  0.1372415424 |         nadir
    11 |      528 |     48 |  0.0206611570 |         ideal
    12 |      576 |     48 |  0.0254306054 |             f
    13 |      624 |     48 |  0.1758487352 |         nadir
    14 |      672 |     48 |  0.0159880363 |         ideal
    15 |      720 |     48 |  0.0761325937 |         nadir
    16 |      768 |     48 |  0.0692307692 |         ideal
    17 |      816 |     48 |  0.0196195199 |             f
    18 |      864 |     48 |  0.2289336722 |         nadir
    19 |      912 |     48 |  0.0510948905 |         ideal
    20 |      960 |     48 |  0.0203564438 |             f
    21 |     1008 |     48 |  1.0916784699 |         nadir
    22 |     1056 |     48 |  0.1103896104 |         ideal
    23 |     1104 |     48 |  0.1117111513 |         nadir
    24 |     1152 |     48 |  0.0332501630 |             f
    25 |     1200 |     48 |  0.0205071437 |             f
    26 |     1248 |     48 |  0.0082204934 |         ideal
    27 |     1296 |     48 |  0.0805970149 |         ideal
    28 |     1344 |     48 |  0.0098098446 |         ideal
    29 |     1392 |     48 |  0.0351642290 |             f
    30 |     1440 |     48 |  0.0164180041 |             f
saved -> D:\jasonworkspace\IrrigationDecision\data\processed\cross_season_pareto_beijing_plain_loam.csv
