=== hebei_central / loam / joint ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     18 |             - |             -
     2 |       96 |     30 |  0.2556996535 |         ideal
     3 |      144 |     48 |  0.1718325770 |         ideal
     4 |      192 |     43 |  0.0306309524 |         ideal
     5 |      240 |     48 |  0.0198476987 |         ideal
     6 |      288 |     48 |  0.0186264583 |         ideal
     7 |      336 |     48 |  0.0165590940 |         ideal
     8 |      384 |     48 |  0.1437161191 |         ideal
     9 |      432 |     48 |  1.0103738878 |         nadir
    10 |      480 |     48 |  0.0369781755 |             f
    11 |      528 |     48 |  0.0097848877 |         ideal
    12 |      576 |     48 |  0.0362759100 |             f
    13 |      624 |     48 |  0.4259404899 |         nadir
    14 |      672 |     48 |  0.0983000416 |         nadir
    15 |      720 |     48 |  0.0356665572 |         nadir
    16 |      768 |     48 |  0.0669473322 |         nadir
    17 |      816 |     48 |  0.0062087740 |         ideal
    18 |      864 |     48 |  0.0058737987 |         nadir
    19 |      912 |     48 |  0.0324861983 |         nadir
    20 |      960 |     48 |  0.0054323751 |         ideal
    21 |     1008 |     48 |  0.0172188107 |         ideal
    22 |     1056 |     48 |  0.0211347030 |             f
    23 |     1104 |     48 |  0.0169611391 |         ideal
    24 |     1152 |     48 |  0.0051322590 |         ideal
    25 |     1200 |     48 |  0.0089614626 |         nadir
    26 |     1248 |     48 |  0.1329793033 |         nadir
    27 |     1296 |     48 |  0.0186609107 |         ideal
    28 |     1344 |     48 |  0.0743391708 |         nadir
    29 |     1392 |     48 |  0.0749309442 |         nadir
    30 |     1440 |     48 |  0.0439691519 |         nadir
=== hebei_central / loam / fixed_best ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |      9 |             - |             -
     2 |       96 |     18 |  0.1744425890 |         ideal
     3 |      144 |     23 |  0.1098930721 |         ideal
     4 |      192 |     38 |  0.1467473747 |         ideal
     5 |      240 |     43 |  0.3497738073 |         ideal
     6 |      288 |     48 |  0.0769148204 |         ideal
     7 |      336 |     48 |  0.0312465424 |         ideal
     8 |      384 |     48 |  0.0302997790 |         ideal
     9 |      432 |     48 |  0.0933245255 |         ideal
    10 |      480 |     48 |  0.0270244407 |         ideal
    11 |      528 |     48 |  0.0473207879 |         ideal
    12 |      576 |     48 |  0.0514632023 |         ideal
    13 |      624 |     48 |  0.0445124987 |         ideal
    14 |      672 |     48 |  0.1064869633 |         nadir
    15 |      720 |     48 |  0.0182699264 |             f
    16 |      768 |     48 |  0.0401708445 |         ideal
    17 |      816 |     48 |  0.0374666864 |             f
    18 |      864 |     48 |  0.0227768752 |         ideal
    19 |      912 |     48 |  0.1179219119 |         nadir
    20 |      960 |     48 |  0.0494930635 |         nadir
    21 |     1008 |     48 |  0.0456269939 |         ideal
    22 |     1056 |     48 |  0.0291357538 |         ideal
    23 |     1104 |     48 |  0.0832689321 |         nadir
    24 |     1152 |     48 |  0.0111990347 |         nadir
    25 |     1200 |     48 |  0.1549472431 |         nadir
    26 |     1248 |     48 |  0.0041403355 |         nadir
    27 |     1296 |     48 |  0.0046084130 |         nadir
    28 |     1344 |     48 |  0.0220603698 |         ideal
    29 |     1392 |     48 |  0.0246511105 |             f
    30 |     1440 |     48 |  0.1458970343 |         nadir
saved -> D:\jasonworkspace\IrrigationDecision\data\processed\cross_season_pareto_hebei_central_loam.csv
