=== henan_north / loam / joint ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     17 |             - |             -
     2 |       96 |     32 |  0.1677233126 |         ideal
     3 |      144 |     38 |  0.0393245897 |         ideal
     4 |      192 |     48 |  0.0302524814 |         ideal
     5 |      240 |     48 |  0.0073317924 |         ideal
     6 |      288 |     48 |  0.0367388994 |         ideal
     7 |      336 |     48 |  0.1179689528 |         ideal
     8 |      384 |     48 |  0.0330851096 |         nadir
     9 |      432 |     48 |  0.0086203183 |         ideal
    10 |      480 |     48 |  0.0092867842 |         ideal
    11 |      528 |     48 |  0.0239408052 |         ideal
    12 |      576 |     48 |  0.0135028364 |         ideal
    13 |      624 |     48 |  0.0043901372 |         ideal
    14 |      672 |     48 |  0.0248930164 |             f
    15 |      720 |     48 |  0.0220527747 |             f
    16 |      768 |     48 |  0.0318631899 |         ideal
    17 |      816 |     48 |  0.0269484451 |             f
    18 |      864 |     48 |  0.0280609179 |             f
    19 |      912 |     48 |  0.0244388275 |             f
    20 |      960 |     48 |  0.0093196425 |         ideal
    21 |     1008 |     48 |  0.0025603896 |         nadir
    22 |     1056 |     48 |  0.0089353839 |         ideal
    23 |     1104 |     48 |  0.0450796394 |         nadir
    24 |     1152 |     48 |  0.0044488776 |         ideal
    25 |     1200 |     48 |  0.0220015036 |         ideal
    26 |     1248 |     48 |  0.0139311271 |         ideal
    27 |     1296 |     48 |  0.0213553762 |             f
    28 |     1344 |     48 |  0.0188820095 |         nadir
    29 |     1392 |     48 |  0.0145670503 |         ideal
    30 |     1440 |     48 |  0.0025852274 |         ideal
=== henan_north / loam / fixed_best ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     14 |             - |             -
     2 |       96 |     20 |  0.0998112708 |         ideal
     3 |      144 |     30 |  0.0460795428 |         ideal
     4 |      192 |     24 |  0.4402754072 |         ideal
     5 |      240 |     35 |  0.2098552272 |         ideal
     6 |      288 |     45 |  0.0830370987 |         nadir
     7 |      336 |     32 |  0.0837403234 |         ideal
     8 |      384 |     38 |  0.0211539391 |         ideal
     9 |      432 |     46 |  0.0199586562 |         nadir
    10 |      480 |     48 |  0.0026128218 |         ideal
    11 |      528 |     48 |  0.0102403348 |         ideal
    12 |      576 |     48 |  0.1959889150 |         nadir
    13 |      624 |     48 |  0.0072291264 |         ideal
    14 |      672 |     48 |  0.0177519877 |         ideal
    15 |      720 |     48 |  0.0276187208 |         ideal
    16 |      768 |     48 |  0.0729977189 |         nadir
    17 |      816 |     48 |  0.0148905535 |         nadir
    18 |      864 |     48 |  0.0256387501 |         nadir
    19 |      912 |     48 |  0.0183386748 |         ideal
    20 |      960 |     48 |  0.0012343634 |             f
    21 |     1008 |     48 |  0.0095351084 |         ideal
    22 |     1056 |     48 |  0.1115493771 |         nadir
    23 |     1104 |     48 |  0.1639809723 |         nadir
    24 |     1152 |     48 |  0.0002220661 |             f
    25 |     1200 |     48 |  0.4824153032 |         nadir
    26 |     1248 |     48 |  0.0071047330 |             f
    27 |     1296 |     48 |  0.0092929955 |         nadir
    28 |     1344 |     48 |  0.0183228508 |             f
    29 |     1392 |     48 |  0.0383786901 |         nadir
    30 |     1440 |     48 |  0.0099632903 |             f
saved -> D:\jasonworkspace\IrrigationDecision\data\processed\cross_season_pareto_henan_north_loam.csv
