=== shaanxi_guanzhong / loam / joint ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     16 |             - |             -
     2 |       96 |     25 |  0.0262400735 |         ideal
     3 |      144 |     38 |  0.0215842353 |         ideal
     4 |      192 |     46 |  0.0103095960 |         ideal
     5 |      240 |     48 |  0.0521007384 |         nadir
     6 |      288 |     48 |  0.0048618560 |         ideal
     7 |      336 |     48 |  0.0061400105 |         nadir
     8 |      384 |     48 |  0.0055678093 |         nadir
     9 |      432 |     48 |  0.0432530854 |         ideal
    10 |      480 |     48 |  0.0139917377 |         ideal
    11 |      528 |     48 |  0.0188730558 |         ideal
    12 |      576 |     48 |  0.0261104611 |             f
    13 |      624 |     48 |  0.0898091273 |         nadir
    14 |      672 |     48 |  0.0201855702 |             f
    15 |      720 |     48 |  0.0174712684 |             f
    16 |      768 |     48 |  0.0164218477 |         nadir
    17 |      816 |     48 |  0.0146206136 |         ideal
    18 |      864 |     48 |  0.0992186508 |         nadir
    19 |      912 |     48 |  0.0689097764 |         nadir
    20 |      960 |     48 |  0.0174620661 |             f
    21 |     1008 |     48 |  0.0101438718 |             f
    22 |     1056 |     48 |  0.0115408980 |             f
    23 |     1104 |     48 |  0.0183640771 |             f
    24 |     1152 |     48 |  0.0046376048 |         nadir
    25 |     1200 |     48 |  0.0713446183 |         nadir
    26 |     1248 |     48 |  0.0124078552 |             f
    27 |     1296 |     48 |  0.0756165306 |         nadir
    28 |     1344 |     48 |  0.0113791065 |             f
    29 |     1392 |     48 |  0.0125274328 |             f
    30 |     1440 |     48 |  0.0202856873 |         ideal
=== shaanxi_guanzhong / loam / fixed_best ===
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       48 |     15 |             - |             -
     2 |       96 |     28 |  0.1168059137 |         ideal
     3 |      144 |     40 |  0.0091816719 |         ideal
     4 |      192 |     44 |  0.0203647431 |         ideal
     5 |      240 |     48 |  0.0456546699 |         ideal
     6 |      288 |     48 |  0.0186672495 |         ideal
     7 |      336 |     48 |  0.0031233184 |         ideal
     8 |      384 |     48 |  0.0254685504 |         ideal
     9 |      432 |     48 |  0.0282801125 |         ideal
    10 |      480 |     48 |  0.1567191052 |         nadir
    11 |      528 |     48 |  0.0275023432 |         ideal
    12 |      576 |     48 |  0.0762184700 |         ideal
    13 |      624 |     48 |  0.0454704869 |         ideal
    14 |      672 |     48 |  0.0036728297 |         nadir
    15 |      720 |     48 |  0.0186574870 |             f
    16 |      768 |     48 |  0.0602105340 |         nadir
    17 |      816 |     48 |  0.0289859323 |         nadir
    18 |      864 |     48 |  0.0157614234 |             f
    19 |      912 |     48 |  0.0058572327 |         ideal
    20 |      960 |     48 |  0.0149305295 |         ideal
    21 |     1008 |     48 |  0.0286129582 |         nadir
    22 |     1056 |     48 |  0.0049588749 |         nadir
    23 |     1104 |     48 |  0.0077554386 |             f
    24 |     1152 |     48 |  0.0476585938 |         nadir
    25 |     1200 |     48 |  0.0225013387 |             f
    26 |     1248 |     48 |  0.0219172294 |             f
    27 |     1296 |     48 |  0.0144929140 |             f
    28 |     1344 |     48 |  0.0118828432 |             f
    29 |     1392 |     48 |  0.0186104043 |             f
    30 |     1440 |     48 |  0.0117866992 |             f
saved -> D:\jasonworkspace\IrrigationDecision\data\processed\cross_season_pareto_shaanxi_guanzhong_loam.csv
