condition,target_site,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,nearest_source_distance
zero_shot,beijing_plain,2018,10.044010324930248,150.0,0.13043478260869565,-1.8644680536886684,-1.3128405142408262,1.4410160412589892
zero_shot,beijing_plain,2019,6.327556508268603,450.0,0.2920353982300885,-6.831879841409961,-5.26040932371412,1.4410160412589892
zero_shot,beijing_plain,2020,6.689178329897848,165.0,0.07079646017699115,-2.3497155901207125,-1.7051578252437043,1.4410160412589892
zero_shot,beijing_plain,2021,9.948463459826703,85.0,0.2831858407079646,-1.0624883106238183,-0.8585844977413114,1.4410160412589892
zero_shot,beijing_plain,2022,11.833563564899405,75.0,0.06956521739130435,-0.8908917393250478,-0.7299624765953349,1.4410160412589892
finetuned,beijing_plain,2018,9.80297720092667,50.0,0.008695652173913044,-0.5774495307763945,-0.4814102774525475,1.4410160412589892
finetuned,beijing_plain,2019,8.120364941178408,420.0,0.1504424778761062,-5.738880559410641,-4.576519905263801,1.4410160412589892
finetuned,beijing_plain,2020,6.522993113430482,85.0,0.035398230088495575,-1.2750755957234237,-0.9547401850645203,1.4410160412589892
finetuned,beijing_plain,2021,9.661420122468018,40.0,0.02654867256637168,-0.49585940403809803,-0.4264291192594697,1.4410160412589892
finetuned,beijing_plain,2022,11.844862371195653,70.0,0.09565217391304348,-0.686253682363581,-0.5765995617821477,1.4410160412589892
threshold_rule,beijing_plain,2018,10.806418455879633,380.0,0.043478260869565216,-4.673276652224328,-3.13870460420768,1.4410160412589892
threshold_rule,beijing_plain,2019,3.949632681206636,450.0,0.2920353982300885,-6.907454401961349,-5.539725085218662,1.4410160412589892
threshold_rule,beijing_plain,2020,8.110077411284825,450.0,0.3185840707964602,-6.197761518564036,-4.876861880236931,1.4410160412589892
threshold_rule,beijing_plain,2021,11.244349594345676,450.0,0.08849557522123894,-5.764673808621218,-4.6999556408539815,1.4410160412589892
threshold_rule,beijing_plain,2022,12.305479240948276,220.0,0.008695652173913044,-2.513195540275718,-1.8830064137696942,1.4410160412589892
zero_shot,hebei_central,2018,9.753981779777767,185.0,0.0782608695652174,-2.2835041561051077,-1.6157333829413676,1.4410160412589892
zero_shot,hebei_central,2019,11.458856716431107,395.0,0.17543859649122806,-5.530558216902254,-4.487210890063299,1.4410160412589892
zero_shot,hebei_central,2020,12.140949188113545,200.0,0.15789473684210525,-2.4958706462978797,-1.9554231173300074,1.4410160412589892
zero_shot,hebei_central,2021,12.77810615058397,190.0,0.13392857142857142,-2.2445569631942175,-1.8251525731938179,1.4410160412589892
zero_shot,hebei_central,2022,12.401454999319672,160.0,0.15789473684210525,-2.051946786989571,-1.5993561021399976,1.4410160412589892
finetuned,hebei_central,2018,9.791624037032488,180.0,0.06086956521739131,-2.0805049511249747,-1.4496667188104466,1.4410160412589892
finetuned,hebei_central,2019,12.129434283906248,450.0,0.24561403508771928,-5.432653940999631,-4.467889040066509,1.4410160412589892
finetuned,hebei_central,2020,11.900394003116457,185.0,0.07894736842105263,-2.086099056181327,-1.6160681262896597,1.4410160412589892
finetuned,hebei_central,2021,12.14826923033704,155.0,0.11607142857142858,-1.8914771629905958,-1.505890031432479,1.4410160412589892
finetuned,hebei_central,2022,11.965120194260813,155.0,0.08771929824561403,-1.662162769789913,-1.293287639578847,1.4410160412589892
threshold_rule,hebei_central,2018,12.229664418094668,450.0,0.09565217391304348,-5.518378881839665,-3.7113833135174517,1.4410160412589892
threshold_rule,hebei_central,2019,4.476666324395936,450.0,0.3333333333333333,-6.723919932583839,-5.5238548818379165,1.4410160412589892
threshold_rule,hebei_central,2020,13.798951842404184,340.0,0.017543859649122806,-3.99166681986668,-3.2102865351137275,1.4410160412589892
threshold_rule,hebei_central,2021,13.78826560542438,440.0,0.0,-5.294930567381316,-4.127470585709521,1.4410160412589892
threshold_rule,hebei_central,2022,13.904617919304762,240.0,0.0,-2.680944178335036,-2.0246245658479545,1.4410160412589892
zero_shot,henan_north,2018,14.965858111366522,30.0,0.07079646017699115,0.017773027872048597,-0.12344160750022104,1.8122938870644816
zero_shot,henan_north,2019,5.726148569684906,220.0,0.12280701754385964,-3.1884116571994907,-2.561812618466603,1.8122938870644816
zero_shot,henan_north,2020,14.021952971966439,130.0,0.09821428571428571,-1.4156849792294488,-1.062439680281421,1.8122938870644816
zero_shot,henan_north,2021,9.856561994126656,80.0,0.20535714285714285,-1.0828621485060679,-0.8620886565109069,1.8122938870644816
zero_shot,henan_north,2022,15.463047767808431,110.0,0.14035087719298245,-1.0987313972945998,-0.9194191511989231,1.8122938870644816
finetuned,henan_north,2018,14.944311672693292,25.0,0.05309734513274336,0.19885406648815684,0.02162836030498899,1.8122938870644816
finetuned,henan_north,2019,9.401045866674771,235.0,0.03508771929824561,-2.7828564948504892,-2.292463052681884,1.8122938870644816
finetuned,henan_north,2020,13.912248629805616,140.0,0.0625,-1.3172368052700225,-0.9628474044105786,1.8122938870644816
finetuned,henan_north,2021,9.951170382125046,140.0,0.08035714285714286,-1.7389381803416892,-1.3034849959551424,1.8122938870644816
finetuned,henan_north,2022,15.12450730020367,145.0,0.017543859649122806,-1.329331665641253,-1.0583493065368406,1.8122938870644816
threshold_rule,henan_north,2018,15.63362905449653,180.0,0.017699115044247787,-1.7974360768737365,-1.4530057352164887,1.8122938870644816
threshold_rule,henan_north,2019,7.106400879375145,450.0,0.30701754385964913,-5.903126470751234,-5.011828265661288,1.8122938870644816
threshold_rule,henan_north,2020,15.988689872369903,360.0,0.03571428571428571,-4.120875640086931,-2.9336164298919534,1.8122938870644816
threshold_rule,henan_north,2021,16.476053903956643,450.0,0.017857142857142856,-5.282480583915356,-4.387063019191945,1.8122938870644816
threshold_rule,henan_north,2022,16.318349726262277,340.0,0.008771929824561403,-3.8499086941334295,-2.8076504808870597,1.8122938870644816
zero_shot,shaanxi_guanzhong,2018,11.522075390278104,120.0,0.13513513513513514,-1.2121303420126974,-0.8297467727713467,6.715459492482259
zero_shot,shaanxi_guanzhong,2019,8.825087910126411,115.0,0.09821428571428571,-1.5992009462793866,-1.1907362550428509,6.715459492482259
zero_shot,shaanxi_guanzhong,2020,13.516535964349748,0.0,0.07272727272727272,0.44422472445411904,0.21328795803383035,6.715459492482259
zero_shot,shaanxi_guanzhong,2021,14.340680708597391,0.0,0.0990990990990991,0.48256986514964983,0.23525047788181117,6.715459492482259
zero_shot,shaanxi_guanzhong,2022,10.692777748130252,0.0,0.026785714285714284,0.3147130327812418,0.13649052045026866,6.715459492482259
finetuned,shaanxi_guanzhong,2018,11.524388849150824,125.0,0.14414414414414414,-1.2939425888072722,-0.8940915959768705,6.715459492482259
finetuned,shaanxi_guanzhong,2019,8.43836867662977,100.0,0.08035714285714286,-1.5139111577369244,-1.1261130708268419,6.715459492482259
finetuned,shaanxi_guanzhong,2020,13.543254290426606,5.0,0.06363636363636363,0.36353578122044605,0.14910196539102688,6.715459492482259
finetuned,shaanxi_guanzhong,2021,14.340636447206133,5.0,0.10810810810810811,0.40062289148284774,0.17147063056609926,6.715459492482259
finetuned,shaanxi_guanzhong,2022,10.6693718440538,5.0,0.0625,0.2317802103624793,0.07147312993483187,6.715459492482259
threshold_rule,shaanxi_guanzhong,2018,12.47832130058364,280.0,0.02702702702702703,-3.2638929781001593,-2.2297170442657577,6.715459492482259
threshold_rule,shaanxi_guanzhong,2019,12.541677717745566,450.0,0.03571428571428571,-5.492581317079318,-4.483816186091127,6.715459492482259
threshold_rule,shaanxi_guanzhong,2020,13.752046403373203,120.0,0.01818181818181818,-1.1120387494759256,-0.9129448399728476,6.715459492482259
threshold_rule,shaanxi_guanzhong,2021,14.337950155900536,40.0,0.018018018018018018,-0.03977371497021043,-0.11229850679472697,6.715459492482259
threshold_rule,shaanxi_guanzhong,2022,13.745014792200223,240.0,0.026785714285714284,-2.6838416165014762,-1.8790692502856372,6.715459492482259
zero_shot,ningxia_irrigation,2018,6.823785489521069,265.0,0.29545454545454547,-3.340792411165079,-3.1616498713137418,6.370978248687944
zero_shot,ningxia_irrigation,2019,8.502989939695363,320.0,0.2727272727272727,-4.09524187226837,-3.686565360735625,6.370978248687944
zero_shot,ningxia_irrigation,2020,7.705499377865619,415.0,0.29545454545454547,-5.438304155772883,-4.96424016579835,6.370978248687944
zero_shot,ningxia_irrigation,2021,0.0,0.0,0.0,-0.08607043041529906,-0.07916957681129456,6.370978248687944
zero_shot,ningxia_irrigation,2022,10.721961241388763,325.0,0.3409090909090909,-4.3176157666032715,-4.029611017293867,6.370978248687944
finetuned,ningxia_irrigation,2018,6.824687334312073,225.0,0.20454545454545456,-2.799808956114031,-2.682973670571596,6.370978248687944
finetuned,ningxia_irrigation,2019,8.972386859905347,320.0,0.18181818181818182,-4.159630893958407,-3.7458294531141907,6.370978248687944
finetuned,ningxia_irrigation,2020,7.470087935908814,415.0,0.20454545454545456,-5.324653600034616,-4.858499506873793,6.370978248687944
finetuned,ningxia_irrigation,2021,0.0,0.0,0.022727272727272728,-0.08607043041529906,-0.07916957681129456,6.370978248687944
finetuned,ningxia_irrigation,2022,10.699728576412257,325.0,0.2727272727272727,-4.297489350076063,-4.003992229395213,6.370978248687944
threshold_rule,ningxia_irrigation,2018,14.553502662349741,440.0,0.045454545454545456,-5.430968508931344,-5.145768083686516,6.370978248687944
threshold_rule,ningxia_irrigation,2019,14.350457563918383,450.0,0.022727272727272728,-5.57823641969267,-5.069438905202652,6.370978248687944
threshold_rule,ningxia_irrigation,2020,11.48959701964236,450.0,0.2727272727272727,-6.0460961021065,-5.606864039076567,6.370978248687944
threshold_rule,ningxia_irrigation,2021,12.724911912858378,450.0,0.38636363636363635,-6.19083206298235,-5.7555756734006644,6.370978248687944
threshold_rule,ningxia_irrigation,2022,14.20102573271984,420.0,0.06818181818181818,-5.1795808993272665,-4.839011237006502,6.370978248687944
