site_id,crop,stage,delta_yield_t_ha,delta_irrigation_mm,mwv_t_ha_per_mm
beijing_plain,wheat,1,0.029491651410952002,-5.055035952248886,
beijing_plain,wheat,2,-0.014136859268445434,98.41991162736036,-0.00014363820323239795
beijing_plain,wheat,3,0.0,0.0,
beijing_plain,wheat,4,0.016211861893228985,67.25046457739455,0.00024106691299614322
beijing_plain,maize,1,0.08350502452714359,94.22424848118129,0.0008862370979145716
beijing_plain,maize,2,0.030858840416687627,24.96999999999997,0.0012358366206122412
beijing_plain,maize,3,0.007430379964931788,104.12906281869215,7.135740746912748e-05
beijing_plain,maize,4,-0.04775541182230647,-109.7398,
hebei_central,wheat,1,0.00365404901914701,15.509638944954077,0.00023559858692492788
hebei_central,wheat,2,0.0602379902524639,-9.842591876081713,
hebei_central,wheat,3,0.018526801795664127,-10.897658100191165,
hebei_central,wheat,4,0.059595013340967284,59.68565753531442,0.0009984813069321805
hebei_central,maize,1,0.1055602744738735,64.6926851801141,0.001631718859403933
hebei_central,maize,2,0.02220482112528188,15.0,0.0014803214083521255
hebei_central,maize,3,0.005589742638637318,5.0,0.0011179485277274636
hebei_central,maize,4,0.009232699151208834,-44.2579148198858,
henan_north,wheat,1,-0.0013659291660133022,118.18255545650032,-1.1557790070938703e-05
henan_north,wheat,2,-0.009203045565058687,76.3420531440375,-0.00012055014485522084
henan_north,wheat,3,0.006863723396989485,-5.063128497688126,
henan_north,wheat,4,0.017380091964724897,104.38997699052726,0.00016649196087381102
henan_north,maize,1,0.07061077272964411,25.171382505336965,0.0028052004181603
henan_north,maize,2,0.023325709290134,29.652803052893262,0.0007866274648142608
henan_north,maize,3,0.000497138459394364,15.0,3.314256395962426e-05
henan_north,maize,4,-1.3025898926599666e-05,20.0,-6.512949463299833e-07
shaanxi_guanzhong,wheat,1,-4.003521047302172e-05,5.557689712345564,-7.203570646286636e-06
shaanxi_guanzhong,wheat,2,-0.06195035239486657,15.226731924802095,-0.004068525846571095
shaanxi_guanzhong,wheat,3,-0.06220925470034899,4.972746943212769,-0.01251003829689293
shaanxi_guanzhong,wheat,4,0.00015185725259136973,-40.00829486626773,
shaanxi_guanzhong,maize,1,0.04895951776754792,28.262185963146976,0.0017323330131430608
shaanxi_guanzhong,maize,2,0.016954982409449926,-0.20502592270304376,
shaanxi_guanzhong,maize,3,-0.00373531465285204,20.0,-0.000186765732642602
shaanxi_guanzhong,maize,4,0.0003699360536515428,-25.091999999999985,
ningxia_irrigation,maize,1,0.13762284604856667,35.05862456424558,0.003925506141758935
ningxia_irrigation,maize,2,0.08738234198295913,-7.96856800104689,
ningxia_irrigation,maize,3,0.0320169398383765,22.81829296349298,0.001403125987101684
ningxia_irrigation,maize,4,0.036791178286506465,22.997475460555506,0.001599792044548953
