condition,target_site,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,nearest_source_distance
zero_shot,beijing_plain,2018,10.541377216845108,60.0,0.0625,-0.6726209360491189,-0.5467516211981684,1.4410160412589892
zero_shot,beijing_plain,2019,8.82974006783027,410.0,0.2,-5.353310578467703,-4.286913964867932,1.4410160412589892
zero_shot,beijing_plain,2020,11.555764895413308,120.0,0.05454545454545454,-1.3308850310599993,-1.0279408472544074,1.4410160412589892
zero_shot,beijing_plain,2021,12.460113800916456,110.0,0.15454545454545454,-1.3812907156196936,-1.0435256628566927,1.4410160412589892
zero_shot,beijing_plain,2022,14.354784274404416,115.0,0.11607142857142858,-1.1365799395895029,-0.8796323076383686,1.4410160412589892
finetuned,beijing_plain,2018,10.564187497620155,70.0,0.026785714285714284,-0.6906372408297388,-0.5452368531993438,1.4410160412589892
finetuned,beijing_plain,2019,8.578727855952454,415.0,0.17272727272727273,-5.42699995619767,-4.344609333895852,1.4410160412589892
finetuned,beijing_plain,2020,7.957177994238984,195.0,0.08181818181818182,-2.5377581939727225,-1.8063891152810603,1.4410160412589892
finetuned,beijing_plain,2021,12.421331310699518,110.0,0.06363636363636363,-1.283095264345241,-0.9728485822798272,1.4410160412589892
finetuned,beijing_plain,2022,14.552537571642034,100.0,0.05357142857142857,-0.9298009096889537,-0.7355649609603612,1.4410160412589892
threshold_rule,beijing_plain,2018,14.30935931792004,400.0,0.017857142857142856,-4.88238614314973,-3.302788757537769,1.4410160412589892
threshold_rule,beijing_plain,2019,5.52263700534334,450.0,0.2818181818181818,-7.053916048241423,-5.6202448703204695,1.4410160412589892
threshold_rule,beijing_plain,2020,7.812589862746316,450.0,0.3090909090909091,-6.346970315088523,-4.971891294438499,1.4410160412589892
threshold_rule,beijing_plain,2021,13.66155215882757,450.0,0.10909090909090909,-5.748595448921017,-4.6876823444557285,1.4410160412589892
threshold_rule,beijing_plain,2022,14.857393127695167,220.0,0.0,-2.505281679296897,-1.873464069255963,1.4410160412589892
zero_shot,hebei_central,2018,10.830417929421401,160.0,0.08928571428571429,-1.9798274580865214,-1.464862683980898,1.4410160412589892
zero_shot,hebei_central,2019,14.1163630452214,395.0,0.17117117117117117,-5.165007050899187,-4.245577829713528,1.4410160412589892
zero_shot,hebei_central,2020,15.42703238696391,175.0,0.11711711711711711,-2.0532730717257217,-1.6269739210433634,1.4410160412589892
zero_shot,hebei_central,2021,15.062601423346877,175.0,0.10091743119266056,-1.9621074528218871,-1.5827933968229815,1.4410160412589892
zero_shot,hebei_central,2022,15.590028100724982,105.0,0.06306306306306306,-1.0402495083282184,-0.9036234565717047,1.4410160412589892
finetuned,hebei_central,2018,10.806454857914567,145.0,0.0625,-1.779328604809229,-1.2655281176335262,1.4410160412589892
finetuned,hebei_central,2019,14.039028400951988,395.0,0.1981981981981982,-4.847172674545981,-4.023732287391709,1.4410160412589892
finetuned,hebei_central,2020,15.143809021717017,170.0,0.0990990990990991,-2.0035678415546565,-1.51933492594998,1.4410160412589892
finetuned,hebei_central,2021,14.08691259844263,125.0,0.10091743119266056,-1.2535367511513185,-1.0014160928485754,1.4410160412589892
finetuned,hebei_central,2022,14.756167096447623,85.0,0.036036036036036036,-0.9608795446205024,-0.7853439309682146,1.4410160412589892
threshold_rule,hebei_central,2018,15.632386959385766,450.0,0.08928571428571429,-5.470951593701037,-3.71762817393361,1.4410160412589892
threshold_rule,hebei_central,2019,4.844081343473745,450.0,0.3153153153153153,-6.895828170924807,-5.61849350952371,1.4410160412589892
threshold_rule,hebei_central,2020,16.422176212630745,380.0,0.009009009009009009,-4.502844961146921,-3.5522763722394264,1.4410160412589892
threshold_rule,hebei_central,2021,16.055910765379544,420.0,0.009174311926605505,-5.035978440133494,-3.948955885239486,1.4410160412589892
threshold_rule,hebei_central,2022,16.43331414906173,220.0,0.0,-2.412739620399103,-1.8372195912113927,1.4410160412589892
zero_shot,henan_north,2018,17.394278479505402,85.0,0.07272727272727272,-0.5800203400293664,-0.5871472339796372,1.8122938870644816
zero_shot,henan_north,2019,10.667170656789919,245.0,0.10810810810810811,-3.2460492283597375,-2.608340518986676,1.8122938870644816
zero_shot,henan_north,2020,17.328010909018282,125.0,0.07339449541284404,-1.1838451592246844,-0.9776731137501209,1.8122938870644816
zero_shot,henan_north,2021,16.27310808638636,195.0,0.14678899082568808,-2.2491256182299715,-1.811009056207288,1.8122938870644816
zero_shot,henan_north,2022,17.38307207154033,155.0,0.08108108108108109,-1.7965586130654598,-1.4304923731861272,1.8122938870644816
finetuned,henan_north,2018,17.420953738402968,70.0,0.07272727272727272,-0.37762972038177156,-0.44972876233359527,1.8122938870644816
finetuned,henan_north,2019,6.75939746237818,330.0,0.14414414414414414,-4.60487459135954,-3.3611101469698985,1.8122938870644816
finetuned,henan_north,2020,17.442669512042578,130.0,0.08256880733944955,-1.238821856750984,-1.023925737551401,1.8122938870644816
finetuned,henan_north,2021,16.29990577959807,205.0,0.12844036697247707,-2.2654547445612785,-1.829380730414996,1.8122938870644816
finetuned,henan_north,2022,18.057511717437865,165.0,0.09009009009009009,-1.66766937840962,-1.3620437690265683,1.8122938870644816
threshold_rule,henan_north,2018,18.09529749386151,220.0,0.01818181818181818,-2.3153724577174852,-1.8015138270948954,1.8122938870644816
threshold_rule,henan_north,2019,7.204691437621834,450.0,0.3153153153153153,-5.8894596755918105,-4.999487784210442,1.8122938870644816
threshold_rule,henan_north,2020,18.676622888330606,340.0,0.01834862385321101,-3.844358753372462,-2.767743897139507,1.8122938870644816
threshold_rule,henan_north,2021,18.630754777062005,450.0,0.05504587155963303,-5.288165756939131,-4.385971270556953,1.8122938870644816
threshold_rule,henan_north,2022,18.785620225819983,340.0,0.0,-3.8459686905854156,-2.8232692270787565,1.8122938870644816
zero_shot,shaanxi_guanzhong,2018,14.063901948226263,120.0,0.12962962962962962,-1.1833911928763394,-0.8515100361784766,6.715459492482259
zero_shot,shaanxi_guanzhong,2019,11.802550521855274,150.0,0.13761467889908258,-2.0257211074955164,-1.5422942314828543,6.715459492482259
zero_shot,shaanxi_guanzhong,2020,16.12453210991183,20.0,0.07476635514018691,0.1736298727223427,0.016627461258028664,6.715459492482259
zero_shot,shaanxi_guanzhong,2021,16.824754309907753,20.0,0.12962962962962962,0.20421700192804582,0.04759104626833749,6.715459492482259
zero_shot,shaanxi_guanzhong,2022,12.304560924214949,30.0,0.045871559633027525,-0.08243695056437927,-0.14471008672065638,6.715459492482259
finetuned,shaanxi_guanzhong,2018,14.65009480302907,130.0,0.17592592592592593,-1.284738067808454,-0.9061778048143818,6.715459492482259
finetuned,shaanxi_guanzhong,2019,11.58094593289798,145.0,0.1559633027522936,-1.8520985195565556,-1.3612388342796116,6.715459492482259
finetuned,shaanxi_guanzhong,2020,16.018412371232664,10.0,0.056074766355140186,0.31160541804364705,0.11222098978849276,6.715459492482259
finetuned,shaanxi_guanzhong,2021,16.826735079023123,10.0,0.10185185185185185,0.3459508951807992,0.13182432803092448,6.715459492482259
finetuned,shaanxi_guanzhong,2022,12.304560924214949,30.0,0.08256880733944955,-0.08243695056437927,-0.14471008672065638,6.715459492482259
threshold_rule,shaanxi_guanzhong,2018,15.938375238812597,280.0,0.018518518518518517,-3.213161806123249,-2.2151484138856823,6.715459492482259
threshold_rule,shaanxi_guanzhong,2019,15.856213048897539,450.0,0.045871559633027525,-5.446723841308353,-4.450104353972488,6.715459492482259
threshold_rule,shaanxi_guanzhong,2020,16.31845393006625,140.0,0.018691588785046728,-1.3624947228122846,-1.0765290649660304,6.715459492482259
threshold_rule,shaanxi_guanzhong,2021,16.826809753102594,20.0,0.018518518518518517,0.22651071782661053,0.062314219159359086,6.715459492482259
threshold_rule,shaanxi_guanzhong,2022,16.13596803844044,260.0,0.027522935779816515,-2.940959125466963,-2.051121207493961,6.715459492482259
