condition,target_site,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,nearest_source_distance
zero_shot,beijing_plain,2018,13.382920046789927,225.0,0.16071428571428573,0.033821644374325666,-0.056051605417737904,1.4410160412589892
zero_shot,beijing_plain,2019,8.2965479809973,380.0,0.16363636363636364,-0.7374049222420942,-0.6298843574474005,1.4410160412589892
zero_shot,beijing_plain,2020,12.441500831659855,200.0,0.07272727272727272,0.02130059354474323,-0.07656618031227214,1.4410160412589892
zero_shot,beijing_plain,2021,12.937533751781457,195.0,0.18181818181818182,-0.1619349601714794,-0.20032523909620786,1.4410160412589892
zero_shot,beijing_plain,2022,14.597297707117367,160.0,0.10714285714285714,0.1610215987173838,0.017617915186274535,1.4410160412589892
finetuned,beijing_plain,2018,13.458640527861363,330.0,0.15178571428571427,-0.10941937375557265,-0.13727607206231557,1.4410160412589892
finetuned,beijing_plain,2019,9.074226012477963,450.0,0.17272727272727273,-0.3911253377426479,-0.3890164255665339,1.4410160412589892
finetuned,beijing_plain,2020,11.99490273131779,150.0,0.05454545454545454,-0.05194979677818723,-0.11700962631965406,1.4410160412589892
finetuned,beijing_plain,2021,12.5578207533684,145.0,0.11818181818181818,0.0780163898816722,-0.02626607918948687,1.4410160412589892
finetuned,beijing_plain,2022,14.72681753621791,145.0,0.09821428571428571,0.18392493331135573,0.035369223733635435,1.4410160412589892
threshold_rule,beijing_plain,2018,14.30935931792004,400.0,0.017857142857142856,-0.1466108073743989,-0.17035992405365946,1.4410160412589892
threshold_rule,beijing_plain,2019,5.52263700534334,450.0,0.2818181818181818,-1.7161565854819716,-1.2179209943331752,1.4410160412589892
threshold_rule,beijing_plain,2020,7.812589862746316,450.0,0.3090909090909091,-1.0092108523290653,-0.7890672190638945,1.4410160412589892
threshold_rule,beijing_plain,2021,13.66155215882757,450.0,0.10909090909090909,-0.4108359861615646,-0.42293852933677284,1.4410160412589892
threshold_rule,beijing_plain,2022,14.857393127695167,220.0,0.0,0.09939475537953296,-0.023128288210111037,1.4410160412589892
zero_shot,hebei_central,2018,12.374182588555762,245.0,0.09821428571428571,0.002716037707187813,-0.07201882405472948,1.4410160412589892
zero_shot,hebei_central,2019,13.961068880526964,450.0,0.17117117117117117,-0.28846023549855937,-0.3409172926691312,1.4410160412589892
zero_shot,hebei_central,2020,15.92495939678443,410.0,0.25225225225225223,-0.054373677343101834,-0.15210578393545815,1.4410160412589892
zero_shot,hebei_central,2021,15.71942410394635,270.0,0.1559633027522936,0.0022940614715188934,-0.11394055356477051,1.4410160412589892
zero_shot,hebei_central,2022,16.45791755687744,335.0,0.18018018018018017,0.05466203381224077,-0.06079745987945462,1.4410160412589892
finetuned,hebei_central,2018,15.481685377443988,385.0,0.4375,-0.06860589207147627,-0.1638593496096069,1.4410160412589892
finetuned,hebei_central,2019,6.038410737147781,450.0,0.5675675675675675,-1.4839764271664873,-1.0844420764553853,1.4410160412589892
finetuned,hebei_central,2020,16.1893581308956,375.0,0.36936936936936937,-0.010940729114724768,-0.14430309036027955,1.4410160412589892
finetuned,hebei_central,2021,16.14568556088477,380.0,0.3761467889908257,-0.01373529370474369,-0.14875507028130946,1.4410160412589892
finetuned,hebei_central,2022,16.374060106044794,450.0,0.45045045045045046,-0.09747208177240518,-0.18556547163686138,1.4410160412589892
threshold_rule,hebei_central,2018,15.632386959385766,450.0,0.08928571428571429,-0.1331921309415799,-0.16988106175730444,1.4410160412589892
threshold_rule,hebei_central,2019,4.844081343473745,450.0,0.3153153153153153,-1.5580687081653575,-1.1187883881370337,1.4410160412589892
threshold_rule,hebei_central,2020,16.422176212630745,380.0,0.009009009009009009,-0.003858392160359325,-0.13025374000047796,1.4410160412589892
threshold_rule,hebei_central,2021,16.055910765379544,420.0,0.009174311926605505,-0.06341433756939918,-0.16939729377433593,1.4410160412589892
threshold_rule,hebei_central,2022,16.43331414906173,220.0,0.0,0.19193681427732495,0.030138355631811664,1.4410160412589892
zero_shot,henan_north,2018,18.077776418607385,315.0,0.32727272727272727,0.12869945256655846,-0.05541201039814553,1.8122938870644816
zero_shot,henan_north,2019,7.062365617543707,450.0,0.19318181818181818,-1.035708690945874,-0.8323213467518542,1.8122938870644816
zero_shot,henan_north,2020,18.20405159820042,425.0,0.3577981651376147,0.020033227558062028,-0.12764647187195705,1.8122938870644816
zero_shot,henan_north,2021,18.80549174323911,450.0,0.10091743119266056,0.025123861561865413,-0.1624016521498297,1.8122938870644816
zero_shot,henan_north,2022,18.809168808692988,400.0,0.3783783783783784,0.06990401235866606,-0.09387814132296712,1.8122938870644816
finetuned,henan_north,2018,18.03485267458753,270.0,0.2,0.214302082644229,0.010431304512928785,1.8122938870644816
finetuned,henan_north,2019,17.28882146633282,435.0,0.07207207207207207,-0.005385569567265214,-0.18845203480353356,1.8122938870644816
finetuned,henan_north,2020,18.863065187612012,260.0,0.14678899082568808,0.26725963637234107,0.03882742603180317,1.8122938870644816
finetuned,henan_north,2021,18.281469349073028,350.0,0.1651376146788991,0.1446125863585932,-0.06988209415223151,1.8122938870644816
finetuned,henan_north,2022,18.575249119187966,270.0,0.17117117117117117,0.24496088735072719,0.027041578897450125,1.8122938870644816
threshold_rule,henan_north,2018,18.09529749386151,220.0,0.01818181818181818,0.28930397695894255,0.08637696554502716,1.8122938870644816
threshold_rule,henan_north,2019,7.204691437621834,450.0,0.3153153153153153,-0.5517002128323634,-0.5071577022791875,1.8122938870644816
threshold_rule,henan_north,2020,18.676622888330606,340.0,0.01834862385321101,0.18105028203656826,0.018303672397288473,1.8122938870644816
threshold_rule,henan_north,2021,18.630754777062005,450.0,0.05504587155963303,0.0495937058203203,-0.13067430414108888,1.8122938870644816
threshold_rule,henan_north,2022,18.785620225819983,340.0,0.0,0.1794403448236136,0.008007690661150257,1.8122938870644816
zero_shot,shaanxi_guanzhong,2018,15.931653815916587,295.0,0.1574074074074074,0.07186422336815679,-0.03572482418072176,6.715459492482259
zero_shot,shaanxi_guanzhong,2019,14.618711384612245,355.0,0.26605504587155965,-0.07085502027672463,-0.15641549490101547,6.715459492482259
zero_shot,shaanxi_guanzhong,2020,16.37004212839315,130.0,0.1588785046728972,0.3012775593036583,0.10958715779017575,6.715459492482259
zero_shot,shaanxi_guanzhong,2021,16.833175547283926,95.0,0.32407407407407407,0.35857400672143575,0.14825449072293634,6.715459492482259
zero_shot,shaanxi_guanzhong,2022,16.089362424063378,285.0,0.11009174311926606,0.0948305797996647,-0.025601659480604666,6.715459492482259
finetuned,shaanxi_guanzhong,2018,15.751629760290957,180.0,0.10185185185185185,0.21066440738174463,0.05906613273669925,6.715459492482259
finetuned,shaanxi_guanzhong,2019,13.600464440840106,270.0,0.1651376146788991,-0.0008532654070507739,-0.10146938754752616,6.715459492482259
finetuned,shaanxi_guanzhong,2020,16.152784109611275,65.0,0.06542056074766354,0.37598332107890187,0.16311108701822263,6.715459492482259
finetuned,shaanxi_guanzhong,2021,16.836060430140513,80.0,0.10185185185185185,0.3884545163907753,0.16793326028875646,6.715459492482259
finetuned,shaanxi_guanzhong,2022,16.12061742490295,255.0,0.14678899082568808,0.14009295332687666,0.005343382359884852,6.715459492482259
threshold_rule,shaanxi_guanzhong,2018,15.938375238812597,280.0,0.018518518518518517,0.10188092891948497,-0.008766338762537573,6.715459492482259
threshold_rule,shaanxi_guanzhong,2019,15.856213048897539,450.0,0.045871559633027525,-0.10896437854890118,-0.22032338769133514,6.715459492482259
threshold_rule,shaanxi_guanzhong,2020,16.31845393006625,140.0,0.018691588785046728,0.29502664470907863,0.11124643358594521,6.715459492482259
threshold_rule,shaanxi_guanzhong,2021,16.826809753102594,20.0,0.018518518518518517,0.46329948461537734,0.2273670241654978,6.715459492482259
threshold_rule,shaanxi_guanzhong,2022,16.13596803844044,260.0,0.027522935779816515,0.13729484278700232,0.010620208798959752,6.715459492482259
zero_shot,ningxia_irrigation,2018,10.95898489023673,305.0,0.18181818181818182,-0.3412733600404694,-0.3706856323239258,6.370978248687944
zero_shot,ningxia_irrigation,2019,8.830233162222823,315.0,0.20454545454545456,-0.4435966206989271,-0.41212158903619533,6.370978248687944
zero_shot,ningxia_irrigation,2020,7.907447772691801,405.0,0.1590909090909091,-0.44108102013468997,-0.4331392280575855,6.370978248687944
zero_shot,ningxia_irrigation,2021,4.781283265810594,200.0,0.1590909090909091,-0.2779403844999121,-0.26097849690179464,6.370978248687944
zero_shot,ningxia_irrigation,2022,10.958366569946577,325.0,0.25,-0.468110143646237,-0.4654045286386622,6.370978248687944
finetuned,ningxia_irrigation,2018,11.791309822640198,320.0,0.29545454545454547,-0.33768614669646063,-0.3681403858552426,6.370978248687944
finetuned,ningxia_irrigation,2019,9.067527185768691,340.0,0.2727272727272727,-0.23381499867610261,-0.24028179258220284,6.370978248687944
finetuned,ningxia_irrigation,2020,8.488400220539637,430.0,0.4090909090909091,-0.45640954998183775,-0.4437753455608815,6.370978248687944
finetuned,ningxia_irrigation,2021,1.3393383563821195,75.0,0.045454545454545456,-0.13807993809918306,-0.13077197097600268,6.370978248687944
finetuned,ningxia_irrigation,2022,9.817784007271358,320.0,0.29545454545454547,-0.29414968043604117,-0.3049471372551549,6.370978248687944
threshold_rule,ningxia_irrigation,2018,14.553502662349741,440.0,0.045454545454545456,-0.22161563957847885,-0.25763397413651185,6.370978248687944
threshold_rule,ningxia_irrigation,2019,14.350457563918383,450.0,0.022727272727272728,-0.24047695693321036,-0.2546700847206521,6.370978248687944
threshold_rule,ningxia_irrigation,2020,11.48959701964236,450.0,0.2727272727272727,-0.7083366393470378,-0.6690994352300977,6.370978248687944
threshold_rule,ningxia_irrigation,2021,12.724911912858378,450.0,0.38636363636363635,-0.8530726002228877,-0.7755395379007164,6.370978248687944
threshold_rule,ningxia_irrigation,2022,14.20102573271984,420.0,0.06818181818181818,-0.20701679676316626,-0.23616781374398665,6.370978248687944
