policy,site_id,year,preference,safety_enabled,total_yield_t_ha,total_irrigation_mm,safety_modified_rate,quota_clipped_rate,delivery_shortfall_mean_mm,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,timesteps
ppo_rotation_direct,hebei_central,2015,balanced,True,12.094700346780959,445.0,0.2,0.0,0.4090909090909091,-1.0648315097152181,-0.7739494621085589,0.6762134476985635,110.0,11.418486899082396,335.0,,,100000
ppo_rotation_direct,ningxia_irrigation,2015,balanced,True,0.0,0.0,0.0,0.0,0.0,-0.4385959612216681,-0.39999999999999997,,,,,0.0,0.0,100000
ppo_rotation_direct,shaanxi_guanzhong,2015,balanced,True,15.928322041212507,145.0,0.11818181818181818,0.0,0.045454545454545456,-0.45378699794071786,-0.3154237372495603,4.900043361912264,20.0,11.028278679300243,125.0,,,100000
ppo_rotation_direct_gamma1,hebei_central,2015,balanced,True,6.748423263238094,450.0,0.5,0.2909090909090909,0.0,-1.0200199609183709,-0.7922031820649666,4.590213021475978,450.0,2.1582102417621165,0.0,,,100000
ppo_rotation_direct_gamma1,ningxia_irrigation,2015,balanced,True,0.0,20.0,0.0,0.0,0.0,-0.4974246211585688,-0.42420073260073266,,,,,0.0,20.0,100000
ppo_rotation_direct_gamma1,shaanxi_guanzhong,2015,balanced,True,16.1658829859946,255.0,0.22727272727272727,0.0,0.3181818181818182,-0.5747311311611505,-0.41017158311935287,4.900043361912264,135.0,11.265839624082334,120.0,,,100000
ppo_rotation_direct_gamma1_seed1,hebei_central,2015,balanced,True,13.986281922368885,450.0,0.16363636363636364,0.14545454545454545,0.13636363636363635,-1.063487017451647,-0.8090137089105627,3.9596895159327548,275.0,10.02659240643613,175.0,,,100000
ppo_rotation_direct_gamma1_seed1,ningxia_irrigation,2015,balanced,True,12.38248020087184,445.0,0.045454545454545456,0.0,1.25,-0.6761423386439129,-0.6173361058759862,,,,,12.38248020087184,445.0,100000
ppo_rotation_direct_gamma1_seed1,shaanxi_guanzhong,2015,balanced,True,16.254840605270225,405.0,0.3181818181818182,0.0,0.4090909090909091,-0.7585220088910984,-0.540579508963809,4.900043361912264,100.0,11.354797243357963,305.0,,,100000
ppo_rotation_direct_seed1,hebei_central,2015,balanced,True,12.296667067922032,450.0,0.13636363636363635,0.18181818181818182,1.9090909090909092,-1.3868782366190247,-1.0158732272864057,4.48443616674296,350.0,7.812230901179071,100.0,,,100000
ppo_rotation_direct_seed1,ningxia_irrigation,2015,balanced,True,13.707024499523227,450.0,0.022727272727272728,0.29545454545454547,5.568181818181818,-0.6409188435293102,-0.6021484178118458,,,,,13.707024499523227,450.0,100000
ppo_rotation_direct_seed1,shaanxi_guanzhong,2015,balanced,True,16.229234875848498,375.0,0.4090909090909091,0.0,1.6818181818181819,-0.719295426503781,-0.5055714791861916,4.900043361912264,95.0,11.329191513936232,280.0,,,100000
ppo_rotation_direct_seed2,hebei_central,2015,balanced,True,6.748761522803049,450.0,0.5272727272727272,0.3181818181818182,0.5,-1.0310016581870585,-0.8015731439901139,4.590279876556921,450.0,2.1584816462461274,0.0,,,100000
ppo_rotation_direct_seed2,ningxia_irrigation,2015,balanced,True,13.635505853723302,450.0,0.06818181818181818,0.5227272727272727,1.9318181818181819,-0.6439231404599415,-0.6085641647606647,,,,,13.635505853723302,450.0,100000
ppo_rotation_direct_seed2,shaanxi_guanzhong,2015,balanced,True,16.262071844451782,430.0,0.5363636363636364,0.0,1.0909090909090908,-0.7882191376271394,-0.5536122958477804,4.900043361912264,100.0,11.362028482539516,330.0,,,100000
ppo_rotation_residual,hebei_central,2015,balanced,True,10.615756468663403,395.0,0.20909090909090908,0.0,0.18181818181818182,-1.0300064607981179,-0.7432719090431432,0.6898430208199882,110.0,9.925913447843415,285.0,,,100000
ppo_rotation_residual,ningxia_irrigation,2015,balanced,True,0.0,75.0,0.0,0.0,0.3409090909090909,-0.5697188180177304,-0.47907140273265286,,,,,0.0,75.0,100000
ppo_rotation_residual,shaanxi_guanzhong,2015,balanced,True,16.17804345297889,300.0,0.33636363636363636,0.0,0.13636363636363635,-0.6418308395079111,-0.45842434907427976,4.900043361912264,140.0,11.278000091066627,160.0,,,100000
ppo_rotation_residual_seed1,hebei_central,2015,balanced,True,12.915794436715755,450.0,0.0,0.05454545454545454,1.0,-0.8570305693897433,-0.6410556233255477,1.976617670430383,250.0,10.939176766285373,200.0,,,100000
ppo_rotation_residual_seed1,ningxia_irrigation,2015,balanced,True,13.409362483189861,450.0,0.045454545454545456,0.18181818181818182,1.5909090909090908,-0.653951092112929,-0.6110178446890548,,,,,13.409362483189861,450.0,100000
ppo_rotation_residual_seed1,shaanxi_guanzhong,2015,balanced,True,16.11889640316054,110.0,0.03636363636363636,0.0,0.13636363636363635,-0.40655291808234234,-0.28800153089212716,4.900043361912264,0.0,11.218853041248277,110.0,,,100000
ppo_rotation_residual_seed2,hebei_central,2015,balanced,True,5.264305652597572,450.0,0.10909090909090909,0.2727272727272727,1.2727272727272727,-1.0387235244571928,-0.7584627082788526,3.1814336587341354,450.0,2.0828719938634364,0.0,,,100000
ppo_rotation_residual_seed2,ningxia_irrigation,2015,balanced,True,0.0,75.0,0.0,0.0,0.9090909090909091,-0.56992752165165,-0.48079818836039945,,,,,0.0,75.0,100000
ppo_rotation_residual_seed2,shaanxi_guanzhong,2015,balanced,True,16.260857483298103,245.0,0.2,0.0,0.0,-0.5682087640478859,-0.3996540982466157,4.900043361912264,120.0,11.360814121385838,125.0,,,100000
ppo_rotation_direct,hebei_central,2015,balanced,True,12.543629949912425,450.0,0.2,0.01818181818181818,0.36363636363636365,-0.8718409440681,-0.6381977651617409,1.1576715876258423,155.0,11.385958362286583,295.0,,,200000
ppo_rotation_direct,ningxia_irrigation,2015,balanced,True,0.0,25.0,0.0,0.0,0.11363636363636363,-0.5094440771934563,-0.4295556913919414,,,,,0.0,25.0,200000
ppo_rotation_direct,shaanxi_guanzhong,2015,balanced,True,14.490084214561334,0.0,0.07272727272727272,0.0,0.0,-0.30236986589724246,-0.21858425619112462,4.900043361912264,0.0,9.59004085264907,0.0,,,200000
ppo_rotation_direct_seed1,hebei_central,2015,balanced,True,11.59139756216767,230.0,0.1,0.0,0.7272727272727273,-0.9063444934094875,-0.6798242176533084,0.685041678272882,155.0,10.906355883894788,75.0,,,200000
ppo_rotation_direct_seed1,ningxia_irrigation,2015,balanced,True,0.0,100.0,0.022727272727272728,0.0,1.1363636363636365,-0.6007223266866905,-0.5083456875462556,,,,,0.0,100.0,200000
ppo_rotation_direct_seed1,shaanxi_guanzhong,2015,balanced,True,16.133005482557465,175.0,0.21818181818181817,0.0,0.5,-0.48254822320655893,-0.3539649329358281,4.900043361912264,75.0,11.232962120645201,100.0,,,200000
ppo_rotation_direct_seed2,hebei_central,2015,balanced,True,13.437352035724704,450.0,0.10909090909090909,0.18181818181818182,0.5,-0.8718683510764772,-0.6638774676326025,2.298799116690905,340.0,11.138552919033799,110.0,,,200000
ppo_rotation_direct_seed2,ningxia_irrigation,2015,balanced,True,0.0,85.0,0.0,0.0,1.0227272727272727,-0.5841788458859102,-0.4956956898148831,,,,,0.0,85.0,200000
ppo_rotation_direct_seed2,shaanxi_guanzhong,2015,balanced,True,15.15102624942497,160.0,0.13636363636363635,0.0,0.5454545454545454,-0.4881350111026538,-0.3488525952714898,4.900043361912264,50.0,10.250982887512706,110.0,,,200000
ppo_rotation_residual,hebei_central,2015,balanced,True,11.580735172385854,290.0,0.15454545454545454,0.0,0.3181818181818182,-0.9086704034903881,-0.6724943980245444,1.0843656818722285,185.0,10.496369490513626,105.0,,,200000
ppo_rotation_residual,ningxia_irrigation,2015,balanced,True,0.0,100.0,0.022727272727272728,0.0,0.11363636363636363,-0.5991552585116933,-0.5028897898200326,,,,,0.0,100.0,200000
ppo_rotation_residual,shaanxi_guanzhong,2015,balanced,True,16.141452843874596,240.0,0.2727272727272727,0.0,0.22727272727272727,-0.5894351746260558,-0.4132694883783564,4.900043361912264,60.0,11.241409481962334,180.0,,,200000
ppo_rotation_residual_seed1,hebei_central,2015,balanced,True,12.677114978479416,445.0,0.045454545454545456,0.0,0.9090909090909091,-0.8601784520026566,-0.6365360939720225,1.5448318155279157,195.0,11.1322831629515,250.0,,,200000
ppo_rotation_residual_seed1,ningxia_irrigation,2015,balanced,True,0.0,100.0,0.022727272727272728,0.0,0.3409090909090909,-0.5998906044952783,-0.5066127231740456,,,,,0.0,100.0,200000
ppo_rotation_residual_seed1,shaanxi_guanzhong,2015,balanced,True,15.910437110162812,85.0,0.02727272727272727,0.0,0.0,-0.37900886398776795,-0.26822146676883973,4.900043361912264,0.0,11.010393748250548,85.0,,,200000
ppo_rotation_residual_seed2,hebei_central,2015,balanced,True,10.56820970761286,375.0,0.19090909090909092,0.0,0.18181818181818182,-1.0096771234386,-0.7338518497742353,0.6758295955457355,100.0,9.892380112067125,275.0,,,200000
