site_id,date,temperature_2m_max_CMCC_CM2_VHR4,temperature_2m_min_CMCC_CM2_VHR4,temperature_2m_mean_CMCC_CM2_VHR4,precipitation_sum_CMCC_CM2_VHR4,shortwave_radiation_sum_CMCC_CM2_VHR4,wind_speed_10m_mean_CMCC_CM2_VHR4,relative_humidity_2m_mean_CMCC_CM2_VHR4,temperature_2m_max_FGOALS_f3_H,temperature_2m_min_FGOALS_f3_H,temperature_2m_mean_FGOALS_f3_H,precipitation_sum_FGOALS_f3_H,shortwave_radiation_sum_FGOALS_f3_H,wind_speed_10m_mean_FGOALS_f3_H,relative_humidity_2m_mean_FGOALS_f3_H,temperature_2m_max_HiRAM_SIT_HR,temperature_2m_min_HiRAM_SIT_HR,temperature_2m_mean_HiRAM_SIT_HR,precipitation_sum_HiRAM_SIT_HR,shortwave_radiation_sum_HiRAM_SIT_HR,wind_speed_10m_mean_HiRAM_SIT_HR,relative_humidity_2m_mean_HiRAM_SIT_HR,temperature_2m_max_MRI_AGCM3_2_S,temperature_2m_min_MRI_AGCM3_2_S,temperature_2m_mean_MRI_AGCM3_2_S,precipitation_sum_MRI_AGCM3_2_S,shortwave_radiation_sum_MRI_AGCM3_2_S,wind_speed_10m_mean_MRI_AGCM3_2_S,relative_humidity_2m_mean_MRI_AGCM3_2_S,temperature_2m_max_EC_Earth3P_HR,temperature_2m_min_EC_Earth3P_HR,temperature_2m_mean_EC_Earth3P_HR,precipitation_sum_EC_Earth3P_HR,shortwave_radiation_sum_EC_Earth3P_HR,wind_speed_10m_mean_EC_Earth3P_HR,relative_humidity_2m_mean_EC_Earth3P_HR,temperature_2m_max_MPI_ESM1_2_XR,temperature_2m_min_MPI_ESM1_2_XR,temperature_2m_mean_MPI_ESM1_2_XR,precipitation_sum_MPI_ESM1_2_XR,shortwave_radiation_sum_MPI_ESM1_2_XR,wind_speed_10m_mean_MPI_ESM1_2_XR,relative_humidity_2m_mean_MPI_ESM1_2_XR,temperature_2m_max_NICAM16_8S,temperature_2m_min_NICAM16_8S,temperature_2m_mean_NICAM16_8S,precipitation_sum_NICAM16_8S,shortwave_radiation_sum_NICAM16_8S,wind_speed_10m_mean_NICAM16_8S,relative_humidity_2m_mean_NICAM16_8S
hebei_central,1991-01-01,6.0,-1.0,2.2,0.0,,9.1,62,5.0,-5.8,-1.5,0.0,9.7,6.0,46,-3.1,-8.3,-5.8,0.0,3.95,3.2,84,5.4,-5.3,-0.8,0.0,9.79,7.8,39,-2.4,-9.3,-6.2,0.0,10.34,8.0,28,-0.8,-5.9,-2.9,0.26,4.22,6.8,88,5.4,-7.9,0.5,0.0,9.15,7.2,54
hebei_central,1991-01-02,7.3,-0.9,2.3,0.0,,10.0,66,6.9,-7.6,-1.0,0.0,9.91,7.4,44,0.8,-7.9,-3.7,0.0,7.36,8.9,56,10.6,-5.5,1.6,0.0,9.8,9.8,37,0.9,-9.3,-5.4,0.0,10.45,5.4,28,-0.4,-9.0,-5.1,0.0,9.81,9.3,59,6.9,-5.0,0.4,0.0,8.79,7.0,44
hebei_central,1991-01-03,7.0,-4.8,1.2,0.0,,8.1,60,2.1,-8.2,-3.4,0.0,9.71,5.1,48,-2.7,-7.9,-5.8,0.0,10.23,11.8,39,2.7,-7.9,-3.0,0.0,9.71,6.6,41,6.8,-9.1,-2.9,0.0,10.45,5.9,32,0.5,-9.7,-5.8,0.0,10.02,6.0,74,-1.5,-6.9,-4.3,1.73,5.8,3.8,63
hebei_central,1991-01-04,2.6,-9.1,-3.3,0.18,,6.6,60,5.6,-5.8,-0.5,0.0,9.61,6.3,59,2.8,-6.2,-1.8,0.0,9.96,7.3,41,2.1,-7.9,-2.4,0.0,8.91,4.4,39,3.7,-7.2,-3.3,0.0,10.15,5.6,38,2.6,-9.6,-4.3,0.0,9.82,6.6,73,1.6,-6.7,-2.3,0.0,9.15,3.4,85
hebei_central,1991-01-05,-3.5,-9.3,-6.2,0.17,,5.3,70,9.4,-5.8,1.1,0.0,9.71,10.2,48,10.7,-4.0,1.9,0.0,10.25,8.3,37,5.1,-6.5,-1.6,0.0,9.64,3.4,38,2.5,-8.7,-3.9,0.0,10.36,4.3,39,-3.4,-9.1,-6.5,0.0,10.12,11.5,47,4.1,-5.2,-0.9,0.0,9.25,4.3,80
hebei_central,1991-01-06,-0.2,-11.6,-6.4,0.0,,6.2,47,5.8,-4.2,-0.2,0.0,9.92,8.8,48,2.6,-8.4,-4.4,0.0,10.08,10.2,38,4.2,-6.5,-2.0,0.0,9.92,5.6,41,3.1,-8.5,-4.3,0.0,9.86,3.5,42,2.5,-10.7,-4.7,0.0,10.13,7.1,51,6.1,-4.0,0.3,0.0,9.24,7.1,92
hebei_central,1991-01-07,-0.7,-11.1,-5.3,0.0,,12.2,51,12.1,-3.0,3.0,0.0,10.02,6.0,49,-4.2,-11.7,-7.9,0.0,10.46,4.0,36,6.5,-5.5,-0.6,0.0,10.2,4.9,35,2.9,-8.3,-3.6,0.0,10.27,3.5,45,3.2,-10.7,-3.9,0.0,10.23,8.8,46,8.7,-1.9,1.6,0.47,9.15,4.0,93
hebei_central,1991-01-08,3.2,-6.8,-2.0,0.0,,11.1,52,10.9,-6.2,1.4,0.0,9.32,11.4,42,-5.3,-11.6,-8.8,0.0,10.57,4.8,33,4.8,-5.8,-1.4,0.0,9.75,5.4,39,5.0,-7.5,-2.4,0.0,10.37,4.3,41,-1.0,-7.3,-4.9,0.0,8.86,4.1,60,4.2,-5.3,-1.0,11.14,3.08,7.9,71
hebei_central,1991-01-09,6.3,-3.7,0.3,0.0,,7.1,44,7.1,-3.9,0.5,0.0,10.03,8.3,48,-0.3,-10.8,-4.0,0.0,9.56,4.8,41,4.2,-6.6,-2.0,0.0,10.12,6.4,39,5.8,-6.5,-1.7,0.0,10.48,7.5,38,-2.2,-9.4,-6.2,0.0,5.81,3.9,75,4.3,-5.1,-1.4,0.0,9.88,8.3,51
hebei_central,1991-01-10,5.1,-5.5,-1.4,0.0,,8.2,41,7.2,-6.9,-0.4,0.0,10.23,5.1,44,6.5,-5.3,0.0,0.0,7.8,7.5,56,1.8,-10.5,-4.0,0.0,8.68,6.8,41,4.5,-7.2,-3.1,0.0,10.48,5.1,45,0.5,-9.9,-5.5,0.0,8.47,4.1,73,4.4,-4.5,-0.9,0.0,9.88,7.1,59
hebei_central,1991-01-11,4.6,-8.8,-2.0,0.0,,4.9,44,2.7,-9.4,-3.8,0.0,10.23,4.2,41,6.3,-5.7,-0.7,0.0,10.23,4.6,58,-0.2,-10.5,-5.6,0.0,10.68,7.1,33,2.0,-7.0,-3.1,0.0,10.48,5.1,48,0.1,-9.8,-6.1,0.0,10.45,5.3,59,2.5,-8.4,-3.7,0.0,10.06,8.8,46
hebei_central,1991-01-12,-1.8,-8.9,-4.7,0.0,,3.7,54,2.7,-7.4,-2.4,0.0,10.24,4.6,47,1.4,-6.5,-3.7,0.0,10.42,6.2,51,2.8,-8.9,-2.7,0.0,10.41,7.3,31,7.7,-5.5,1.3,0.0,8.65,7.5,47,1.7,-9.5,-5.3,0.0,10.65,5.5,49,1.9,-8.1,-2.8,0.0,10.06,6.4,61
hebei_central,1991-01-13,2.2,-12.6,-4.9,0.0,,5.2,41,10.8,-1.6,3.2,0.0,10.34,10.2,51,3.0,-6.1,-0.6,0.0,8.66,5.9,66,4.1,-6.7,-2.2,0.0,9.97,8.8,32,6.9,-7.5,-1.1,0.0,8.96,4.3,42,1.2,-10.2,-5.7,0.0,10.56,4.2,50,5.5,-4.5,-0.2,0.0,10.06,10.0,57
hebei_central,1991-01-14,-5.8,-14.9,-10.3,0.0,,5.8,33,9.2,-5.7,1.1,0.0,10.54,7.6,48,5.5,-5.1,-0.4,0.0,8.49,12.6,51,5.7,-7.2,-1.8,0.0,10.61,10.2,38,5.3,-7.2,-0.0,0.0,9.57,3.7,45,-2.6,-10.9,-7.1,0.0,10.86,12.2,43,3.6,-7.5,-1.8,0.0,10.24,4.9,59
hebei_central,1991-01-15,-8.1,-15.0,-11.8,0.0,,6.7,45,7.2,-7.3,-0.4,0.0,10.35,6.0,52,5.0,-5.2,-1.0,0.0,11.11,5.9,45,4.0,-7.3,-2.7,0.0,10.71,11.2,41,3.4,-4.1,-0.3,0.38,4.79,3.2,62,-2.3,-10.8,-7.4,0.0,11.06,9.5,45,1.7,-9.4,-3.7,0.0,10.33,2.8,64
hebei_central,1991-01-16,-7.9,-13.8,-11.2,0.0,,5.6,56,2.0,-8.4,-3.7,0.0,10.75,4.2,46,5.4,-5.4,-1.4,0.0,11.03,5.9,48,5.2,-7.3,-1.2,0.0,10.81,10.2,37,3.7,-3.2,-0.4,0.25,8.05,4.8,83,-1.6,-10.3,-6.4,0.0,11.27,13.4,40,-0.7,-9.1,-4.4,0.0,10.24,5.8,72
hebei_central,1991-01-17,-6.6,-14.4,-10.7,1.4,,3.7,64,3.6,-6.2,-2.3,0.0,9.45,3.7,46,7.3,-5.7,0.2,0.0,11.04,5.1,49,8.9,-5.3,0.2,0.0,11.09,7.8,33,3.6,-3.5,-0.4,0.0,11.32,12.6,29,0.2,-8.5,-3.8,0.0,11.07,15.1,41,1.0,-5.6,-2.6,1.39,8.34,2.6,98
