site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
beijing_plain,1981-01-01,0.209,0.211,0.206,0.262
beijing_plain,1981-01-02,0.207,0.209,0.2,0.25
beijing_plain,1981-01-03,0.207,0.208,0.2,0.25
beijing_plain,1981-01-04,0.207,0.208,0.2,0.25
beijing_plain,1981-01-05,0.208,0.208,0.2,0.25
beijing_plain,1981-01-06,0.208,0.208,0.2,0.25
beijing_plain,1981-01-07,0.208,0.208,0.2,0.25
beijing_plain,1981-01-08,0.21,0.208,0.2,0.25
beijing_plain,1981-01-09,0.211,0.208,0.2,0.25
beijing_plain,1981-01-10,0.211,0.208,0.201,0.25
beijing_plain,1981-01-11,0.211,0.208,0.201,0.25
beijing_plain,1981-01-12,0.213,0.208,0.201,0.25
beijing_plain,1981-01-13,0.214,0.208,0.201,0.25
beijing_plain,1981-01-14,0.214,0.208,0.201,0.25
beijing_plain,1981-01-15,0.214,0.208,0.201,0.25
beijing_plain,1981-01-16,0.214,0.208,0.201,0.25
beijing_plain,1981-01-17,0.214,0.208,0.201,0.249
beijing_plain,1981-01-18,0.214,0.208,0.201,0.249
beijing_plain,1981-01-19,0.214,0.208,0.201,0.249
beijing_plain,1981-01-20,0.214,0.208,0.201,0.249
beijing_plain,1981-01-21,0.214,0.208,0.201,0.249
beijing_plain,1981-01-22,0.214,0.208,0.201,0.249
beijing_plain,1981-01-23,0.214,0.208,0.201,0.249
beijing_plain,1981-01-24,0.214,0.208,0.201,0.249
beijing_plain,1981-01-25,0.214,0.208,0.201,0.249
beijing_plain,1981-01-26,0.214,0.208,0.201,0.249
beijing_plain,1981-01-27,0.214,0.208,0.201,0.249
beijing_plain,1981-01-28,0.215,0.208,0.201,0.249
beijing_plain,1981-01-29,0.215,0.208,0.202,0.249
beijing_plain,1981-01-30,0.215,0.208,0.202,0.249
beijing_plain,1981-01-31,0.217,0.208,0.202,0.249
beijing_plain,1981-02-01,0.219,0.208,0.202,0.249
beijing_plain,1981-02-02,0.219,0.208,0.202,0.249
beijing_plain,1981-02-03,0.219,0.208,0.202,0.249
beijing_plain,1981-02-04,0.219,0.208,0.202,0.249
beijing_plain,1981-02-05,0.219,0.208,0.202,0.249
beijing_plain,1981-02-06,0.22,0.208,0.202,0.249
beijing_plain,1981-02-07,0.22,0.209,0.202,0.249
beijing_plain,1981-02-08,0.22,0.209,0.202,0.249
beijing_plain,1981-02-09,0.219,0.209,0.202,0.249
beijing_plain,1981-02-10,0.218,0.209,0.202,0.249
beijing_plain,1981-02-11,0.217,0.209,0.202,0.249
beijing_plain,1981-02-12,0.214,0.209,0.202,0.249
beijing_plain,1981-02-13,0.212,0.209,0.202,0.249
beijing_plain,1981-02-14,0.211,0.209,0.202,0.249
beijing_plain,1981-02-15,0.21,0.209,0.202,0.249
beijing_plain,1981-02-16,0.208,0.209,0.202,0.249
beijing_plain,1981-02-17,0.207,0.209,0.202,0.249
beijing_plain,1981-02-18,0.205,0.209,0.202,0.249
beijing_plain,1981-02-19,0.204,0.208,0.202,0.249
beijing_plain,1981-02-20,0.204,0.208,0.202,0.249
beijing_plain,1981-02-21,0.209,0.208,0.202,0.249
beijing_plain,1981-02-22,0.215,0.208,0.202,0.249
beijing_plain,1981-02-23,0.215,0.208,0.202,0.249
beijing_plain,1981-02-24,0.215,0.208,0.202,0.249
beijing_plain,1981-02-25,0.215,0.209,0.202,0.249
beijing_plain,1981-02-26,0.214,0.209,0.202,0.249
beijing_plain,1981-02-27,0.215,0.209,0.202,0.249
beijing_plain,1981-02-28,0.218,0.209,0.202,0.249
beijing_plain,1981-03-01,0.226,0.209,0.203,0.249
beijing_plain,1981-03-02,0.23,0.209,0.203,0.249
beijing_plain,1981-03-03,0.231,0.209,0.203,0.249
beijing_plain,1981-03-04,0.228,0.21,0.202,0.249
beijing_plain,1981-03-05,0.224,0.21,0.202,0.249
beijing_plain,1981-03-06,0.22,0.21,0.202,0.249
beijing_plain,1981-03-07,0.215,0.209,0.202,0.248
beijing_plain,1981-03-08,0.211,0.209,0.202,0.248
beijing_plain,1981-03-09,0.207,0.208,0.202,0.248
beijing_plain,1981-03-10,0.203,0.207,0.202,0.248
beijing_plain,1981-03-11,0.199,0.205,0.202,0.248
beijing_plain,1981-03-12,0.195,0.204,0.201,0.248
beijing_plain,1981-03-13,0.199,0.203,0.201,0.248
beijing_plain,1981-03-14,0.202,0.202,0.201,0.248
beijing_plain,1981-03-15,0.196,0.201,0.201,0.248
beijing_plain,1981-03-16,0.19,0.199,0.2,0.248
beijing_plain,1981-03-17,0.184,0.197,0.2,0.248
beijing_plain,1981-03-18,0.178,0.195,0.2,0.248
beijing_plain,1981-03-19,0.172,0.193,0.199,0.248
beijing_plain,1981-03-20,0.168,0.191,0.199,0.248
beijing_plain,1981-03-21,0.165,0.19,0.199,0.248
beijing_plain,1981-03-22,0.161,0.188,0.198,0.248
beijing_plain,1981-03-23,0.159,0.187,0.198,0.248
beijing_plain,1981-03-24,0.198,0.186,0.198,0.248
beijing_plain,1981-03-25,0.21,0.186,0.198,0.248
beijing_plain,1981-03-26,0.203,0.185,0.197,0.248
beijing_plain,1981-03-27,0.196,0.184,0.197,0.248
beijing_plain,1981-03-28,0.19,0.183,0.197,0.248
beijing_plain,1981-03-29,0.185,0.182,0.196,0.248
beijing_plain,1981-03-30,0.198,0.181,0.196,0.247
beijing_plain,1981-03-31,0.199,0.181,0.196,0.247
beijing_plain,1981-04-01,0.198,0.181,0.196,0.247
beijing_plain,1981-04-02,0.191,0.179,0.196,0.247
beijing_plain,1981-04-03,0.184,0.178,0.195,0.247
beijing_plain,1981-04-04,0.179,0.177,0.195,0.247
beijing_plain,1981-04-05,0.173,0.176,0.195,0.247
beijing_plain,1981-04-06,0.167,0.174,0.194,0.247
beijing_plain,1981-04-07,0.162,0.173,0.194,0.247
beijing_plain,1981-04-08,0.158,0.172,0.193,0.247
beijing_plain,1981-04-09,0.154,0.171,0.193,0.247
beijing_plain,1981-04-10,0.151,0.169,0.192,0.247
beijing_plain,1981-04-11,0.149,0.168,0.192,0.247
beijing_plain,1981-04-12,0.152,0.167,0.192,0.247
beijing_plain,1981-04-13,0.148,0.166,0.191,0.247
beijing_plain,1981-04-14,0.184,0.165,0.191,0.247
beijing_plain,1981-04-15,0.214,0.165,0.191,0.247
beijing_plain,1981-04-16,0.219,0.166,0.191,0.247
beijing_plain,1981-04-17,0.204,0.165,0.19,0.247
beijing_plain,1981-04-18,0.19,0.164,0.189,0.246
beijing_plain,1981-04-19,0.18,0.163,0.189,0.246
beijing_plain,1981-04-20,0.172,0.161,0.189,0.246
beijing_plain,1981-04-21,0.162,0.16,0.188,0.246
beijing_plain,1981-04-22,0.154,0.158,0.187,0.246
beijing_plain,1981-04-23,0.148,0.157,0.186,0.246
beijing_plain,1981-04-24,0.144,0.156,0.186,0.246
beijing_plain,1981-04-25,0.14,0.155,0.185,0.246
beijing_plain,1981-04-26,0.136,0.153,0.184,0.246
beijing_plain,1981-04-27,0.135,0.151,0.183,0.246
beijing_plain,1981-04-28,0.192,0.151,0.183,0.245
beijing_plain,1981-04-29,0.217,0.151,0.182,0.245
beijing_plain,1981-04-30,0.196,0.151,0.182,0.245
beijing_plain,1981-05-01,0.184,0.15,0.181,0.245
beijing_plain,1981-05-02,0.196,0.15,0.181,0.245
beijing_plain,1981-05-03,0.185,0.15,0.18,0.245
beijing_plain,1981-05-04,0.174,0.149,0.18,0.245
beijing_plain,1981-05-05,0.164,0.148,0.179,0.245
beijing_plain,1981-05-06,0.155,0.147,0.179,0.245
beijing_plain,1981-05-07,0.148,0.146,0.178,0.245
beijing_plain,1981-05-08,0.143,0.145,0.177,0.245
beijing_plain,1981-05-09,0.141,0.145,0.177,0.244
beijing_plain,1981-05-10,0.138,0.144,0.176,0.244
beijing_plain,1981-05-11,0.135,0.144,0.176,0.244
beijing_plain,1981-05-12,0.133,0.143,0.175,0.244
beijing_plain,1981-05-13,0.131,0.142,0.174,0.244
beijing_plain,1981-05-14,0.129,0.141,0.174,0.244
beijing_plain,1981-05-15,0.164,0.141,0.173,0.244
beijing_plain,1981-05-16,0.18,0.141,0.173,0.244
beijing_plain,1981-05-17,0.191,0.141,0.173,0.244
beijing_plain,1981-05-18,0.197,0.142,0.172,0.244
beijing_plain,1981-05-19,0.183,0.142,0.172,0.244
beijing_plain,1981-05-20,0.173,0.141,0.171,0.243
beijing_plain,1981-05-21,0.163,0.141,0.171,0.243
beijing_plain,1981-05-22,0.152,0.14,0.17,0.243
