site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
henan_north,1981-01-01,0.168,0.187,0.192,0.188
henan_north,1981-01-02,0.168,0.186,0.19,0.175
henan_north,1981-01-03,0.168,0.186,0.19,0.175
henan_north,1981-01-04,0.169,0.186,0.19,0.175
henan_north,1981-01-05,0.169,0.186,0.19,0.175
henan_north,1981-01-06,0.169,0.185,0.19,0.175
henan_north,1981-01-07,0.169,0.185,0.19,0.175
henan_north,1981-01-08,0.169,0.185,0.19,0.175
henan_north,1981-01-09,0.169,0.185,0.19,0.175
henan_north,1981-01-10,0.169,0.184,0.19,0.175
henan_north,1981-01-11,0.168,0.184,0.19,0.175
henan_north,1981-01-12,0.168,0.183,0.19,0.175
henan_north,1981-01-13,0.166,0.183,0.19,0.175
henan_north,1981-01-14,0.165,0.182,0.19,0.175
henan_north,1981-01-15,0.164,0.181,0.189,0.175
henan_north,1981-01-16,0.164,0.181,0.189,0.175
henan_north,1981-01-17,0.164,0.181,0.189,0.175
henan_north,1981-01-18,0.164,0.181,0.189,0.175
henan_north,1981-01-19,0.164,0.18,0.189,0.175
henan_north,1981-01-20,0.164,0.18,0.189,0.175
henan_north,1981-01-21,0.164,0.18,0.189,0.175
henan_north,1981-01-22,0.164,0.18,0.189,0.175
henan_north,1981-01-23,0.165,0.18,0.189,0.175
henan_north,1981-01-24,0.168,0.179,0.189,0.175
henan_north,1981-01-25,0.168,0.179,0.189,0.175
henan_north,1981-01-26,0.169,0.179,0.189,0.175
henan_north,1981-01-27,0.169,0.179,0.189,0.175
henan_north,1981-01-28,0.171,0.179,0.189,0.175
henan_north,1981-01-29,0.177,0.179,0.189,0.175
henan_north,1981-01-30,0.189,0.179,0.189,0.175
henan_north,1981-01-31,0.202,0.179,0.189,0.175
henan_north,1981-02-01,0.213,0.18,0.189,0.175
henan_north,1981-02-02,0.218,0.18,0.189,0.175
henan_north,1981-02-03,0.217,0.18,0.189,0.175
henan_north,1981-02-04,0.217,0.181,0.189,0.175
henan_north,1981-02-05,0.216,0.181,0.189,0.175
henan_north,1981-02-06,0.215,0.182,0.189,0.175
henan_north,1981-02-07,0.212,0.182,0.188,0.175
henan_north,1981-02-08,0.207,0.182,0.188,0.175
henan_north,1981-02-09,0.202,0.181,0.188,0.175
henan_north,1981-02-10,0.197,0.181,0.188,0.175
henan_north,1981-02-11,0.193,0.18,0.188,0.175
henan_north,1981-02-12,0.189,0.179,0.187,0.175
henan_north,1981-02-13,0.185,0.179,0.187,0.175
henan_north,1981-02-14,0.182,0.178,0.187,0.175
henan_north,1981-02-15,0.179,0.178,0.187,0.175
