site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
ningxia_irrigation,1981-01-01,0.166,0.153,0.134,0.141
ningxia_irrigation,1981-01-02,0.166,0.153,0.134,0.142
ningxia_irrigation,1981-01-03,0.167,0.153,0.134,0.142
ningxia_irrigation,1981-01-04,0.167,0.153,0.134,0.142
ningxia_irrigation,1981-01-05,0.167,0.153,0.134,0.142
ningxia_irrigation,1981-01-06,0.167,0.153,0.134,0.142
ningxia_irrigation,1981-01-07,0.169,0.153,0.134,0.142
ningxia_irrigation,1981-01-08,0.173,0.153,0.134,0.142
ningxia_irrigation,1981-01-09,0.175,0.153,0.134,0.142
ningxia_irrigation,1981-01-10,0.176,0.153,0.134,0.142
ningxia_irrigation,1981-01-11,0.177,0.153,0.134,0.142
ningxia_irrigation,1981-01-12,0.178,0.153,0.134,0.142
ningxia_irrigation,1981-01-13,0.18,0.153,0.134,0.142
ningxia_irrigation,1981-01-14,0.185,0.153,0.134,0.142
ningxia_irrigation,1981-01-15,0.19,0.153,0.134,0.142
ningxia_irrigation,1981-01-16,0.192,0.153,0.134,0.142
ningxia_irrigation,1981-01-17,0.196,0.153,0.134,0.142
ningxia_irrigation,1981-01-18,0.2,0.153,0.134,0.142
ningxia_irrigation,1981-01-19,0.201,0.154,0.134,0.142
ningxia_irrigation,1981-01-20,0.202,0.154,0.134,0.142
ningxia_irrigation,1981-01-21,0.203,0.154,0.134,0.142
ningxia_irrigation,1981-01-22,0.203,0.154,0.134,0.142
ningxia_irrigation,1981-01-23,0.204,0.155,0.134,0.142
ningxia_irrigation,1981-01-24,0.203,0.155,0.134,0.142
ningxia_irrigation,1981-01-25,0.203,0.155,0.134,0.142
ningxia_irrigation,1981-01-26,0.203,0.155,0.134,0.142
ningxia_irrigation,1981-01-27,0.205,0.155,0.134,0.142
ningxia_irrigation,1981-01-28,0.208,0.155,0.134,0.142
ningxia_irrigation,1981-01-29,0.21,0.155,0.134,0.142
ningxia_irrigation,1981-01-30,0.212,0.155,0.134,0.142
ningxia_irrigation,1981-01-31,0.213,0.155,0.134,0.142
ningxia_irrigation,1981-02-01,0.215,0.155,0.134,0.142
ningxia_irrigation,1981-02-02,0.216,0.156,0.134,0.142
ningxia_irrigation,1981-02-03,0.218,0.156,0.134,0.142
ningxia_irrigation,1981-02-04,0.221,0.156,0.134,0.142
ningxia_irrigation,1981-02-05,0.224,0.156,0.134,0.142
ningxia_irrigation,1981-02-06,0.225,0.157,0.134,0.142
ningxia_irrigation,1981-02-07,0.225,0.157,0.134,0.142
ningxia_irrigation,1981-02-08,0.225,0.158,0.134,0.142
ningxia_irrigation,1981-02-09,0.224,0.158,0.134,0.142
ningxia_irrigation,1981-02-10,0.222,0.159,0.134,0.142
ningxia_irrigation,1981-02-11,0.222,0.159,0.134,0.142
ningxia_irrigation,1981-02-12,0.221,0.16,0.134,0.142
ningxia_irrigation,1981-02-13,0.22,0.16,0.134,0.142
ningxia_irrigation,1981-02-14,0.218,0.161,0.134,0.142
ningxia_irrigation,1981-02-15,0.215,0.161,0.134,0.142
ningxia_irrigation,1981-02-16,0.214,0.162,0.134,0.142
ningxia_irrigation,1981-02-17,0.213,0.162,0.134,0.142
ningxia_irrigation,1981-02-18,0.211,0.163,0.134,0.142
ningxia_irrigation,1981-02-19,0.21,0.163,0.134,0.142
ningxia_irrigation,1981-02-20,0.209,0.164,0.134,0.142
ningxia_irrigation,1981-02-21,0.208,0.164,0.134,0.142
ningxia_irrigation,1981-02-22,0.206,0.165,0.134,0.142
ningxia_irrigation,1981-02-23,0.205,0.165,0.134,0.142
ningxia_irrigation,1981-02-24,0.204,0.165,0.134,0.142
ningxia_irrigation,1981-02-25,0.203,0.165,0.134,0.142
ningxia_irrigation,1981-02-26,0.203,0.165,0.134,0.142
ningxia_irrigation,1981-02-27,0.203,0.166,0.134,0.142
ningxia_irrigation,1981-02-28,0.204,0.166,0.134,0.142
ningxia_irrigation,1981-03-01,0.203,0.166,0.134,0.142
ningxia_irrigation,1981-03-02,0.2,0.167,0.134,0.142
ningxia_irrigation,1981-03-03,0.197,0.167,0.134,0.142
ningxia_irrigation,1981-03-04,0.196,0.167,0.134,0.142
ningxia_irrigation,1981-03-05,0.194,0.167,0.134,0.142
ningxia_irrigation,1981-03-06,0.192,0.167,0.134,0.142
ningxia_irrigation,1981-03-07,0.19,0.167,0.134,0.142
ningxia_irrigation,1981-03-08,0.187,0.168,0.134,0.142
ningxia_irrigation,1981-03-09,0.185,0.168,0.134,0.142
ningxia_irrigation,1981-03-10,0.182,0.168,0.134,0.142
ningxia_irrigation,1981-03-11,0.18,0.168,0.134,0.142
ningxia_irrigation,1981-03-12,0.176,0.168,0.134,0.142
ningxia_irrigation,1981-03-13,0.173,0.167,0.134,0.142
ningxia_irrigation,1981-03-14,0.17,0.167,0.134,0.142
ningxia_irrigation,1981-03-15,0.168,0.166,0.134,0.142
ningxia_irrigation,1981-03-16,0.166,0.166,0.134,0.142
ningxia_irrigation,1981-03-17,0.163,0.165,0.134,0.142
ningxia_irrigation,1981-03-18,0.161,0.164,0.134,0.142
ningxia_irrigation,1981-03-19,0.158,0.163,0.134,0.142
ningxia_irrigation,1981-03-20,0.155,0.163,0.134,0.142
ningxia_irrigation,1981-03-21,0.152,0.162,0.134,0.142
ningxia_irrigation,1981-03-22,0.149,0.161,0.134,0.142
ningxia_irrigation,1981-03-23,0.159,0.16,0.134,0.142
ningxia_irrigation,1981-03-24,0.163,0.16,0.134,0.142
ningxia_irrigation,1981-03-25,0.16,0.159,0.134,0.142
ningxia_irrigation,1981-03-26,0.158,0.159,0.134,0.142
ningxia_irrigation,1981-03-27,0.155,0.158,0.134,0.142
ningxia_irrigation,1981-03-28,0.152,0.157,0.134,0.142
ningxia_irrigation,1981-03-29,0.15,0.157,0.134,0.142
ningxia_irrigation,1981-03-30,0.148,0.156,0.134,0.142
ningxia_irrigation,1981-03-31,0.146,0.156,0.134,0.142
ningxia_irrigation,1981-04-01,0.145,0.155,0.134,0.142
ningxia_irrigation,1981-04-02,0.143,0.154,0.134,0.142
ningxia_irrigation,1981-04-03,0.171,0.154,0.134,0.142
ningxia_irrigation,1981-04-04,0.178,0.154,0.134,0.142
ningxia_irrigation,1981-04-05,0.175,0.153,0.134,0.142
ningxia_irrigation,1981-04-06,0.169,0.153,0.134,0.142
ningxia_irrigation,1981-04-07,0.165,0.152,0.134,0.142
