site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
shaanxi_guanzhong,1981-01-01,0.341,0.344,0.359,0.362
shaanxi_guanzhong,1981-01-02,0.339,0.344,0.358,0.364
shaanxi_guanzhong,1981-01-03,0.339,0.343,0.358,0.364
shaanxi_guanzhong,1981-01-04,0.338,0.343,0.357,0.364
shaanxi_guanzhong,1981-01-05,0.338,0.342,0.357,0.364
shaanxi_guanzhong,1981-01-06,0.337,0.342,0.357,0.364
shaanxi_guanzhong,1981-01-07,0.34,0.342,0.356,0.364
shaanxi_guanzhong,1981-01-08,0.347,0.342,0.356,0.363
shaanxi_guanzhong,1981-01-09,0.353,0.344,0.356,0.363
shaanxi_guanzhong,1981-01-10,0.354,0.346,0.355,0.363
shaanxi_guanzhong,1981-01-11,0.355,0.348,0.355,0.363
shaanxi_guanzhong,1981-01-12,0.357,0.349,0.355,0.363
shaanxi_guanzhong,1981-01-13,0.357,0.351,0.354,0.363
shaanxi_guanzhong,1981-01-14,0.356,0.351,0.354,0.363
shaanxi_guanzhong,1981-01-15,0.353,0.351,0.354,0.363
shaanxi_guanzhong,1981-01-16,0.35,0.351,0.354,0.363
shaanxi_guanzhong,1981-01-17,0.348,0.35,0.353,0.363
shaanxi_guanzhong,1981-01-18,0.346,0.349,0.353,0.363
shaanxi_guanzhong,1981-01-19,0.344,0.348,0.353,0.363
shaanxi_guanzhong,1981-01-20,0.345,0.347,0.353,0.363
shaanxi_guanzhong,1981-01-21,0.346,0.347,0.352,0.363
shaanxi_guanzhong,1981-01-22,0.345,0.347,0.352,0.363
shaanxi_guanzhong,1981-01-23,0.343,0.346,0.352,0.362
shaanxi_guanzhong,1981-01-24,0.343,0.346,0.352,0.362
shaanxi_guanzhong,1981-01-25,0.343,0.345,0.351,0.362
shaanxi_guanzhong,1981-01-26,0.342,0.345,0.351,0.362
shaanxi_guanzhong,1981-01-27,0.342,0.345,0.351,0.362
shaanxi_guanzhong,1981-01-28,0.345,0.344,0.351,0.362
shaanxi_guanzhong,1981-01-29,0.35,0.345,0.351,0.362
shaanxi_guanzhong,1981-01-30,0.357,0.347,0.351,0.362
shaanxi_guanzhong,1981-01-31,0.366,0.35,0.35,0.362
shaanxi_guanzhong,1981-02-01,0.37,0.355,0.35,0.362
shaanxi_guanzhong,1981-02-02,0.372,0.358,0.35,0.362
shaanxi_guanzhong,1981-02-03,0.37,0.36,0.351,0.362
shaanxi_guanzhong,1981-02-04,0.366,0.361,0.351,0.362
shaanxi_guanzhong,1981-02-05,0.363,0.361,0.351,0.362
shaanxi_guanzhong,1981-02-06,0.36,0.359,0.351,0.361
shaanxi_guanzhong,1981-02-07,0.356,0.357,0.351,0.361
shaanxi_guanzhong,1981-02-08,0.352,0.355,0.351,0.361
shaanxi_guanzhong,1981-02-09,0.349,0.353,0.35,0.361
shaanxi_guanzhong,1981-02-10,0.347,0.351,0.35,0.361
shaanxi_guanzhong,1981-02-11,0.343,0.349,0.35,0.361
shaanxi_guanzhong,1981-02-12,0.341,0.347,0.349,0.361
shaanxi_guanzhong,1981-02-13,0.338,0.345,0.349,0.361
shaanxi_guanzhong,1981-02-14,0.334,0.342,0.349,0.361
shaanxi_guanzhong,1981-02-15,0.366,0.345,0.348,0.361
shaanxi_guanzhong,1981-02-16,0.395,0.374,0.349,0.361
shaanxi_guanzhong,1981-02-17,0.383,0.377,0.35,0.361
shaanxi_guanzhong,1981-02-18,0.381,0.375,0.351,0.361
shaanxi_guanzhong,1981-02-19,0.381,0.376,0.352,0.36
shaanxi_guanzhong,1981-02-20,0.371,0.373,0.352,0.36
shaanxi_guanzhong,1981-02-21,0.363,0.368,0.352,0.36
shaanxi_guanzhong,1981-02-22,0.359,0.364,0.352,0.36
shaanxi_guanzhong,1981-02-23,0.357,0.361,0.352,0.36
shaanxi_guanzhong,1981-02-24,0.354,0.358,0.352,0.36
shaanxi_guanzhong,1981-02-25,0.35,0.355,0.352,0.36
shaanxi_guanzhong,1981-02-26,0.348,0.353,0.352,0.36
shaanxi_guanzhong,1981-02-27,0.348,0.352,0.352,0.36
shaanxi_guanzhong,1981-02-28,0.347,0.35,0.351,0.36
shaanxi_guanzhong,1981-03-01,0.345,0.348,0.351,0.36
shaanxi_guanzhong,1981-03-02,0.341,0.345,0.35,0.36
shaanxi_guanzhong,1981-03-03,0.338,0.343,0.35,0.36
shaanxi_guanzhong,1981-03-04,0.332,0.339,0.349,0.36
