site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,wind_speed_10m_mean
beijing_plain,1981-01-01,-2.1,-8.2,0.0,1.56,9.44,23.7,30,18.0
beijing_plain,1981-01-02,-3.6,-11.6,0.0,1.11,9.55,12.3,28,9.0
beijing_plain,1981-01-03,-4.1,-13.2,0.0,0.86,8.51,8.2,30,5.4
beijing_plain,1981-01-04,-1.7,-11.9,0.0,0.97,9.39,9.5,35,6.3
beijing_plain,1981-01-05,-0.8,-11.7,0.0,0.95,9.46,8.8,42,5.5
beijing_plain,1981-01-06,1.7,-9.7,0.0,1.07,9.66,10.6,45,7.6
beijing_plain,1981-01-07,2.5,-10.0,0.0,1.13,9.69,10.9,44,7.0
beijing_plain,1981-01-08,5.3,-9.0,0.0,1.32,9.55,11.9,42,6.8
beijing_plain,1981-01-09,2.1,-6.5,0.0,1.69,9.85,24.8,36,15.3
beijing_plain,1981-01-10,1.0,-5.7,0.0,1.7,10.04,26.8,29,15.0
beijing_plain,1981-01-11,6.3,-6.2,0.0,1.35,9.88,11.5,37,6.4
beijing_plain,1981-01-12,4.3,-5.8,0.0,1.27,10.05,10.7,45,6.5
beijing_plain,1981-01-13,2.3,-7.3,0.0,1.16,10.07,10.5,53,7.7
beijing_plain,1981-01-14,-2.4,-6.2,0.5,0.5,3.55,15.6,73,10.6
beijing_plain,1981-01-15,-0.7,-10.6,0.0,1.3,10.68,13.1,32,10.1
beijing_plain,1981-01-16,-0.6,-10.1,0.0,1.23,10.69,11.4,34,8.0
beijing_plain,1981-01-17,0.7,-6.5,0.0,1.0,8.74,8.9,46,5.5
beijing_plain,1981-01-18,-1.0,-7.4,0.0,1.27,10.37,18.2,40,11.5
beijing_plain,1981-01-19,-1.6,-10.7,0.0,1.04,10.51,8.5,37,5.4
beijing_plain,1981-01-20,-0.5,-10.2,0.0,1.17,9.94,9.7,32,7.3
beijing_plain,1981-01-21,-1.6,-10.5,0.0,1.23,11.26,14.4,29,9.2
beijing_plain,1981-01-22,-1.1,-11.1,0.0,0.9,8.15,9.4,40,5.5
beijing_plain,1981-01-23,0.2,-7.2,0.0,0.79,6.25,16.9,61,7.0
beijing_plain,1981-01-24,-2.6,-9.6,0.0,1.6,11.51,20.7,30,17.2
beijing_plain,1981-01-25,-4.7,-11.7,0.0,1.33,10.59,21.1,26,15.0
beijing_plain,1981-01-26,-2.0,-13.4,0.0,1.23,11.96,13.0,26,9.2
beijing_plain,1981-01-27,-0.4,-13.3,0.0,1.26,12.04,8.7,30,6.8
beijing_plain,1981-01-28,1.8,-12.6,0.0,1.31,12.09,10.2,30,5.8
beijing_plain,1981-01-29,-0.1,-10.6,0.0,1.45,12.07,10.9,27,8.6
beijing_plain,1981-01-30,2.0,-9.9,0.0,1.28,12.07,10.5,44,5.7
beijing_plain,1981-01-31,3.8,-7.9,0.0,1.22,10.96,13.0,57,6.2
beijing_plain,1981-02-01,5.8,-7.3,0.0,1.76,12.55,10.9,33,7.7
beijing_plain,1981-02-02,3.4,-5.2,0.0,2.19,12.86,21.5,27,15.8
beijing_plain,1981-02-03,1.1,-7.2,0.0,1.69,13.05,14.6,25,9.4
beijing_plain,1981-02-04,3.7,-8.0,0.0,1.52,12.02,11.3,35,7.0
beijing_plain,1981-02-05,6.5,-8.4,0.0,1.51,12.95,10.7,40,4.2
beijing_plain,1981-02-06,3.7,-5.3,0.0,1.62,12.93,13.3,41,7.3
beijing_plain,1981-02-07,7.2,-6.6,0.0,1.43,11.55,11.6,51,5.5
beijing_plain,1981-02-08,8.7,-5.4,0.0,2.23,12.41,21.8,41,12.9
beijing_plain,1981-02-09,6.8,-3.3,0.0,2.34,13.32,23.2,30,13.8
beijing_plain,1981-02-10,8.3,-5.6,0.0,2.04,13.63,17.1,33,8.4
beijing_plain,1981-02-11,10.3,-3.7,0.0,2.13,14.19,12.5,35,6.9
beijing_plain,1981-02-12,12.7,-4.6,0.0,2.56,14.01,15.9,36,9.6
beijing_plain,1981-02-13,7.7,-4.7,0.0,1.58,12.65,8.7,58,7.2
beijing_plain,1981-02-14,8.5,-4.2,0.0,1.32,8.36,9.7,58,6.2
beijing_plain,1981-02-15,4.8,-4.0,0.0,1.98,8.8,23.2,38,13.6
beijing_plain,1981-02-16,4.1,-5.2,0.0,2.02,14.3,12.6,26,8.4
beijing_plain,1981-02-17,5.2,-6.1,0.0,1.82,14.14,14.9,39,9.0
beijing_plain,1981-02-18,5.6,-3.5,0.0,1.98,11.78,17.7,34,10.5
beijing_plain,1981-02-19,1.7,-5.2,2.8,1.01,5.73,19.4,55,10.1
beijing_plain,1981-02-20,2.0,-6.0,0.0,1.97,15.97,14.3,33,10.0
beijing_plain,1981-02-21,3.4,-7.3,0.0,1.78,15.79,10.1,41,6.9
beijing_plain,1981-02-22,2.7,-4.6,0.1,0.93,5.89,14.1,64,9.3
beijing_plain,1981-02-23,1.3,-4.1,1.6,1.41,12.44,11.3,50,8.0
beijing_plain,1981-02-24,-3.4,-9.3,0.0,1.91,15.99,26.6,24,19.5
beijing_plain,1981-02-25,-5.6,-12.8,0.0,1.48,15.93,29.8,21,16.0
beijing_plain,1981-02-26,-2.2,-13.0,0.0,1.67,17.54,13.9,19,8.6
beijing_plain,1981-02-27,1.7,-8.1,0.0,1.76,15.17,14.2,31,8.4
beijing_plain,1981-02-28,4.3,-7.4,0.0,1.7,14.52,10.2,47,6.6
beijing_plain,1981-03-01,7.5,-6.1,0.0,2.14,17.15,14.1,51,8.4
beijing_plain,1981-03-02,8.8,-4.6,0.0,2.04,15.53,17.7,61,10.4
beijing_plain,1981-03-03,13.8,-2.2,0.0,2.78,17.11,16.6,54,8.6
beijing_plain,1981-03-04,10.5,-3.7,0.0,2.54,16.63,10.6,35,6.9
beijing_plain,1981-03-05,8.1,-4.5,0.0,2.99,18.14,24.7,29,13.6
beijing_plain,1981-03-06,14.2,-5.0,0.0,3.74,18.33,22.2,22,14.0
beijing_plain,1981-03-07,8.5,-3.3,0.0,2.84,16.29,20.9,31,14.4
beijing_plain,1981-03-08,5.4,-3.8,0.0,2.27,18.22,12.6,28,6.4
beijing_plain,1981-03-09,10.2,-4.0,0.0,3.09,18.64,15.3,32,10.5
beijing_plain,1981-03-10,14.0,-4.4,0.0,2.88,18.71,10.0,43,7.4
beijing_plain,1981-03-11,17.1,-1.0,0.0,2.93,18.59,13.1,58,7.4
beijing_plain,1981-03-12,19.1,-0.5,0.0,3.29,18.5,17.5,57,8.8
beijing_plain,1981-03-13,14.0,2.6,0.9,1.47,9.2,16.6,76,7.2
beijing_plain,1981-03-14,13.9,4.0,0.0,4.7,19.56,37.1,24,23.2
beijing_plain,1981-03-15,17.5,-2.1,0.0,3.64,19.66,11.9,32,7.1
beijing_plain,1981-03-16,21.8,2.3,0.0,4.11,20.34,12.7,25,6.8
beijing_plain,1981-03-17,23.3,1.6,0.0,4.38,20.37,13.3,24,7.4
beijing_plain,1981-03-18,23.5,7.2,0.0,4.36,19.35,15.8,38,8.9
beijing_plain,1981-03-19,22.7,7.3,0.0,4.46,19.34,26.2,37,10.4
beijing_plain,1981-03-20,15.3,5.6,0.0,3.6,17.56,16.3,33,10.8
beijing_plain,1981-03-21,18.9,1.2,0.0,3.25,19.65,9.9,53,6.9
beijing_plain,1981-03-22,17.7,5.8,0.0,3.78,18.85,16.2,44,10.7
beijing_plain,1981-03-23,15.6,8.1,0.5,3.02,10.7,16.4,28,9.8
beijing_plain,1981-03-24,16.0,5.0,3.8,2.2,11.73,16.6,68,11.2
beijing_plain,1981-03-25,14.9,1.1,0.5,3.94,18.44,31.9,49,17.6
beijing_plain,1981-03-26,12.7,0.3,0.0,3.91,21.52,17.1,27,11.5
beijing_plain,1981-03-27,15.5,-0.0,0.0,3.19,19.58,13.9,44,7.3
beijing_plain,1981-03-28,19.2,0.1,0.0,3.91,19.0,13.1,34,8.1
beijing_plain,1981-03-29,14.6,4.6,0.1,3.71,17.57,16.8,30,11.1
beijing_plain,1981-03-30,12.1,2.4,1.5,2.36,13.2,15.5,53,9.5
beijing_plain,1981-03-31,10.7,2.1,0.2,1.17,7.11,8.7,74,5.9
beijing_plain,1981-04-01,14.9,4.1,0.0,3.44,19.77,19.1,49,11.5
beijing_plain,1981-04-02,19.0,-0.7,0.0,4.18,22.28,17.5,39,8.0
beijing_plain,1981-04-03,19.7,6.8,0.0,4.28,17.82,18.0,40,13.3
beijing_plain,1981-04-04,18.6,7.0,0.0,3.18,13.63,16.2,48,9.1
beijing_plain,1981-04-05,24.0,6.2,0.0,4.17,21.4,12.9,43,6.1
beijing_plain,1981-04-06,23.0,9.2,0.0,4.77,21.91,17.5,43,10.8
beijing_plain,1981-04-07,23.3,6.1,0.0,4.23,18.6,14.0,43,8.9
beijing_plain,1981-04-08,21.2,11.1,0.0,3.31,10.34,16.1,45,9.9
beijing_plain,1981-04-09,23.5,9.4,0.0,4.76,21.63,18.2,47,11.0
beijing_plain,1981-04-10,23.9,7.4,0.0,4.62,16.16,16.4,37,10.5
beijing_plain,1981-04-11,18.8,8.8,0.9,4.07,16.85,20.6,35,11.2
beijing_plain,1981-04-12,18.5,4.9,0.0,4.42,21.27,25.0,34,11.9
beijing_plain,1981-04-13,21.8,4.7,0.0,5.43,23.2,15.5,22,10.7
beijing_plain,1981-04-14,14.1,7.5,5.4,1.64,6.11,28.1,73,10.0
beijing_plain,1981-04-15,15.4,4.1,3.1,2.2,14.11,6.3,76,4.4
beijing_plain,1981-04-16,24.9,3.6,0.0,4.92,23.58,16.0,49,8.7
beijing_plain,1981-04-17,27.6,11.7,0.0,6.23,22.22,20.6,34,14.3
beijing_plain,1981-04-18,19.1,11.5,0.0,6.64,23.86,36.1,19,21.0
beijing_plain,1981-04-19,22.8,9.2,0.0,5.64,22.55,22.8,23,14.0
beijing_plain,1981-04-20,26.6,4.4,0.0,5.67,23.86,13.0,24,8.1
beijing_plain,1981-04-21,28.5,10.4,0.0,6.72,24.43,19.2,21,10.9
beijing_plain,1981-04-22,31.4,12.0,0.0,7.82,23.85,26.7,25,14.9
beijing_plain,1981-04-23,22.0,13.3,0.0,5.61,10.34,30.4,19,19.7
beijing_plain,1981-04-24,22.2,6.7,0.0,6.3,24.56,31.0,14,14.8
beijing_plain,1981-04-25,30.1,9.5,0.0,7.12,25.26,15.9,14,11.2
beijing_plain,1981-04-26,32.6,9.9,0.0,7.02,25.59,16.0,13,9.1
beijing_plain,1981-04-27,29.2,14.3,2.3,6.21,21.96,21.5,33,13.1
beijing_plain,1981-04-28,23.0,9.6,4.4,3.43,19.12,19.5,67,6.9
beijing_plain,1981-04-29,27.4,10.6,0.0,6.75,25.51,20.6,31,14.0
beijing_plain,1981-04-30,32.7,14.4,0.0,8.19,25.7,23.5,24,15.0
beijing_plain,1981-05-01,26.7,16.5,1.6,4.27,10.99,23.7,45,12.8
beijing_plain,1981-05-02,16.4,9.3,0.0,6.48,23.92,40.5,18,26.0
