site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,wind_speed_10m_mean
hebei_central,1981-01-01,1.1,-7.5,0.0,1.73,10.21,21.2,25,13.7
hebei_central,1981-01-02,-0.6,-10.0,0.0,1.14,10.17,8.2,27,5.4
hebei_central,1981-01-03,-1.4,-10.7,0.0,1.0,10.04,8.0,35,4.9
hebei_central,1981-01-04,-0.2,-10.6,0.0,1.03,10.17,8.4,39,5.2
hebei_central,1981-01-05,0.7,-10.2,0.0,1.03,10.14,9.3,46,5.0
hebei_central,1981-01-06,3.9,-9.5,0.0,1.12,10.36,10.0,50,4.6
hebei_central,1981-01-07,4.7,-8.3,0.0,1.05,9.87,8.5,52,3.7
hebei_central,1981-01-08,8.0,-6.9,0.0,1.21,9.98,10.5,53,4.6
hebei_central,1981-01-09,6.2,-5.7,0.0,1.21,10.38,8.9,50,4.5
hebei_central,1981-01-10,4.8,-6.3,0.0,1.61,10.77,13.6,31,8.3
hebei_central,1981-01-11,9.4,-4.4,0.0,2.37,10.74,16.5,26,12.7
hebei_central,1981-01-12,9.6,-3.7,0.0,2.07,10.9,14.5,30,10.0
hebei_central,1981-01-13,5.0,-5.6,0.0,1.22,10.95,9.7,57,6.4
hebei_central,1981-01-14,1.2,-5.5,0.0,0.88,9.74,16.9,72,10.0
hebei_central,1981-01-15,1.0,-6.6,0.0,0.94,10.0,9.1,65,4.4
hebei_central,1981-01-16,2.9,-8.3,0.0,1.13,11.38,10.2,53,5.0
hebei_central,1981-01-17,1.8,-7.0,0.0,0.98,9.93,8.4,53,4.0
hebei_central,1981-01-18,1.7,-7.4,0.0,1.07,9.06,9.1,50,5.7
hebei_central,1981-01-19,1.2,-7.1,0.0,0.85,8.8,9.2,60,4.8
hebei_central,1981-01-20,0.3,-8.0,0.0,0.73,7.05,8.1,64,4.6
hebei_central,1981-01-21,0.2,-7.1,0.0,0.98,8.74,8.4,52,5.5
hebei_central,1981-01-22,0.4,-7.2,0.0,1.02,9.4,9.4,39,4.3
hebei_central,1981-01-23,-0.6,-5.5,0.9,0.59,6.19,6.4,70,3.4
hebei_central,1981-01-24,-0.3,-6.2,0.0,0.96,8.6,8.4,54,5.7
hebei_central,1981-01-25,-2.3,-8.6,0.0,1.15,10.8,9.2,35,6.3
hebei_central,1981-01-26,-0.4,-11.8,0.0,1.35,12.62,9.7,29,6.3
hebei_central,1981-01-27,1.4,-11.6,0.0,1.36,12.68,10.2,31,5.6
hebei_central,1981-01-28,2.9,-9.7,0.0,1.32,12.81,10.4,42,4.1
hebei_central,1981-01-29,1.5,-9.7,0.0,1.16,11.88,10.0,50,4.9
hebei_central,1981-01-30,3.4,-9.2,0.0,1.22,12.74,10.5,61,3.9
hebei_central,1981-01-31,6.8,-6.1,0.0,1.4,12.03,8.7,58,3.9
hebei_central,1981-02-01,8.1,-5.8,0.0,2.03,13.53,11.5,29,7.4
hebei_central,1981-02-02,6.2,-5.1,0.0,1.98,13.01,13.0,32,8.8
hebei_central,1981-02-03,1.5,-7.1,0.0,1.52,13.66,10.2,34,6.7
hebei_central,1981-02-04,2.9,-6.1,0.0,1.26,11.7,7.7,39,3.6
hebei_central,1981-02-05,6.6,-6.9,0.0,1.37,11.89,10.2,58,4.5
hebei_central,1981-02-06,5.5,-6.1,0.0,1.48,13.62,9.4,64,5.9
hebei_central,1981-02-07,11.5,-6.4,0.0,1.95,13.51,12.4,49,6.2
hebei_central,1981-02-08,10.1,-0.8,0.0,2.87,13.81,25.5,29,14.7
hebei_central,1981-02-09,7.8,-5.1,0.0,2.2,14.55,16.1,35,10.0
hebei_central,1981-02-10,11.7,-2.6,0.0,2.82,14.65,17.0,25,11.2
hebei_central,1981-02-11,13.4,-4.8,0.0,2.54,14.76,12.8,33,7.9
hebei_central,1981-02-12,15.7,-2.7,0.0,2.68,14.21,14.2,42,9.5
hebei_central,1981-02-13,9.6,-3.8,0.0,1.88,14.05,9.8,52,6.6
hebei_central,1981-02-14,9.1,-2.7,0.0,1.34,8.83,10.4,60,6.9
hebei_central,1981-02-15,7.5,-3.8,0.0,1.7,11.54,11.8,53,6.3
hebei_central,1981-02-16,4.6,-3.9,0.0,1.89,14.38,9.4,37,7.2
hebei_central,1981-02-17,7.4,-5.3,0.0,1.87,15.34,12.4,49,7.9
hebei_central,1981-02-18,7.6,-4.2,0.0,1.94,15.16,10.8,55,8.2
hebei_central,1981-02-19,0.6,-3.7,1.5,0.8,6.1,6.5,61,4.3
hebei_central,1981-02-20,6.0,-6.1,0.0,2.01,16.52,15.0,47,6.7
hebei_central,1981-02-21,8.1,-6.4,0.0,1.89,16.03,10.3,51,5.0
hebei_central,1981-02-22,4.6,-4.0,0.0,1.1,8.67,13.6,69,8.4
hebei_central,1981-02-23,6.1,-1.7,0.2,1.6,10.69,10.9,57,7.6
hebei_central,1981-02-24,2.7,-7.2,0.0,2.28,17.05,26.0,19,12.7
hebei_central,1981-02-25,0.5,-9.3,0.0,1.99,17.5,27.7,19,13.6
hebei_central,1981-02-26,-0.8,-11.0,0.0,1.8,17.9,12.2,25,8.7
hebei_central,1981-02-27,4.6,-6.5,0.0,1.85,15.84,12.7,34,6.3
hebei_central,1981-02-28,4.0,-6.8,0.0,1.44,11.84,9.7,47,5.2
hebei_central,1981-03-01,7.7,-4.9,0.0,2.11,17.54,12.7,55,6.7
hebei_central,1981-03-02,7.7,-4.4,0.0,1.56,11.57,14.3,68,8.1
hebei_central,1981-03-03,15.1,-3.8,0.0,2.57,17.13,10.5,62,5.5
hebei_central,1981-03-04,13.5,-4.4,0.0,2.91,18.45,12.0,39,7.4
hebei_central,1981-03-05,11.4,-4.4,0.0,2.83,18.5,12.0,32,7.4
hebei_central,1981-03-06,15.4,-5.8,0.0,4.17,19.2,25.2,22,13.9
hebei_central,1981-03-07,13.3,-1.2,0.0,3.55,18.07,23.3,30,14.3
hebei_central,1981-03-08,6.5,-5.0,0.0,2.22,19.04,13.6,46,7.1
