site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
henan_north,1981-01-01,4.8,-6.6,0.0,1.49,11.53,11.5,40
henan_north,1981-01-02,2.8,-6.1,0.0,1.45,11.52,11.8,25
henan_north,1981-01-03,4.0,-7.5,0.0,1.45,11.37,10.9,40
henan_north,1981-01-04,3.4,-7.0,0.0,1.57,11.29,14.0,41
henan_north,1981-01-05,1.2,-3.8,0.0,1.32,6.03,16.0,38
henan_north,1981-01-06,4.1,-5.3,0.0,1.18,10.92,10.7,61
henan_north,1981-01-07,6.8,-3.9,0.0,1.36,10.75,13.0,62
henan_north,1981-01-08,9.3,-4.1,0.0,1.49,10.93,12.9,62
henan_north,1981-01-09,8.0,-2.7,0.0,1.62,10.34,18.7,54
henan_north,1981-01-10,8.9,-5.3,0.0,1.69,12.21,10.2,40
henan_north,1981-01-11,11.5,-5.2,0.0,2.33,12.12,16.5,31
henan_north,1981-01-12,13.0,-3.6,0.0,2.73,12.16,18.5,28
henan_north,1981-01-13,11.9,-4.6,0.0,2.25,12.38,13.8,40
henan_north,1981-01-14,9.8,-2.5,0.0,2.11,12.35,26.2,48
henan_north,1981-01-15,0.6,-5.4,0.0,1.0,8.79,24.7,63
henan_north,1981-01-16,4.0,-6.5,0.0,1.39,12.52,9.7,52
henan_north,1981-01-17,6.7,-5.3,0.0,1.58,10.71,19.1,52
henan_north,1981-01-18,5.6,-2.8,0.0,2.13,12.41,23.2,43
henan_north,1981-01-19,4.4,-4.8,0.0,1.52,12.56,13.0,53
henan_north,1981-01-20,2.0,-3.5,1.3,0.85,4.99,12.5,62
henan_north,1981-01-21,2.4,-3.8,0.0,1.17,8.67,17.1,58
henan_north,1981-01-22,0.4,-3.1,0.2,1.08,4.37,11.3,47
henan_north,1981-01-23,1.4,-3.8,4.2,0.61,5.37,12.1,80
henan_north,1981-01-24,1.9,-4.7,0.0,1.3,12.61,15.9,63
henan_north,1981-01-25,-2.2,-6.0,0.2,1.03,9.22,14.1,51
henan_north,1981-01-26,-0.8,-7.2,0.0,0.9,9.49,8.0,60
henan_north,1981-01-27,0.4,-7.7,0.0,1.27,11.77,11.0,53
henan_north,1981-01-28,2.6,-8.1,0.0,1.5,13.96,10.9,52
henan_north,1981-01-29,3.6,-6.7,0.0,1.37,13.1,11.8,63
henan_north,1981-01-30,4.5,-4.8,0.0,1.38,13.84,11.1,68
henan_north,1981-01-31,6.8,-4.3,0.0,1.4,12.64,11.4,70
henan_north,1981-02-01,8.5,-7.4,0.0,1.99,14.56,12.6,46
henan_north,1981-02-02,8.0,-4.9,0.0,2.19,13.78,25.1,43
henan_north,1981-02-03,4.9,-5.6,0.0,1.97,14.76,11.0,39
henan_north,1981-02-04,5.8,-4.1,0.0,1.67,13.29,11.3,51
henan_north,1981-02-05,6.5,-2.8,0.0,1.23,9.5,11.4,65
henan_north,1981-02-06,9.3,-3.6,0.0,1.74,14.37,10.5,69
henan_north,1981-02-07,12.7,-3.6,0.0,2.55,14.82,19.8,53
henan_north,1981-02-08,13.3,-2.2,0.0,3.19,15.41,23.1,37
henan_north,1981-02-09,10.6,-5.2,0.0,2.46,15.74,12.1,37
henan_north,1981-02-10,13.7,-4.7,0.0,2.83,16.07,12.2,32
henan_north,1981-02-11,15.1,-3.8,0.0,2.8,15.04,18.5,44
henan_north,1981-02-12,18.1,0.3,0.0,1.9,8.97,11.5,55
henan_north,1981-02-13,17.8,0.1,0.0,3.3,16.04,16.3,44
henan_north,1981-02-14,15.1,2.8,0.0,1.89,11.2,12.6,70
henan_north,1981-02-15,9.6,4.3,0.0,3.16,8.84,32.5,42
henan_north,1981-02-16,6.9,0.1,0.9,2.89,14.31,30.1,31
henan_north,1981-02-17,8.3,-1.8,0.0,2.24,15.65,17.4,43
henan_north,1981-02-18,9.4,-0.7,0.0,1.83,9.81,17.1,58
henan_north,1981-02-19,5.0,-0.4,0.9,0.9,4.78,10.6,71
henan_north,1981-02-20,8.1,-1.4,0.0,2.0,15.64,11.9,65
henan_north,1981-02-21,10.9,-2.2,1.5,2.07,14.31,16.3,66
henan_north,1981-02-22,12.1,1.1,1.0,1.73,11.71,20.9,79
henan_north,1981-02-23,7.3,0.5,0.4,1.34,8.85,21.9,70
