site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
ningxia_irrigation,1981-01-01,-3.0,-12.2,0.0,0.83,10.35,7.4,45
ningxia_irrigation,1981-01-02,-0.3,-13.5,0.0,0.96,10.29,6.6,38
ningxia_irrigation,1981-01-03,1.0,-12.8,0.0,1.07,10.32,8.7,46
ningxia_irrigation,1981-01-04,0.9,-10.2,0.0,1.22,10.44,11.0,44
ningxia_irrigation,1981-01-05,-0.0,-6.2,0.0,1.1,7.48,10.8,43
ningxia_irrigation,1981-01-06,-0.3,-6.1,0.0,0.67,6.35,7.3,67
ningxia_irrigation,1981-01-07,0.4,-8.0,0.0,0.78,8.67,3.8,69
ningxia_irrigation,1981-01-08,1.1,-7.7,0.7,0.92,10.02,5.1,67
ningxia_irrigation,1981-01-09,-2.1,-10.0,2.3,0.85,10.2,8.6,56
ningxia_irrigation,1981-01-10,-2.5,-16.2,0.0,0.99,11.66,8.3,42
ningxia_irrigation,1981-01-11,0.9,-15.2,0.0,1.09,11.43,7.7,46
ningxia_irrigation,1981-01-12,1.9,-11.6,0.0,1.28,11.62,17.2,47
ningxia_irrigation,1981-01-13,6.8,-10.5,0.0,1.75,11.82,15.8,34
ningxia_irrigation,1981-01-14,3.9,-8.1,0.0,1.38,10.35,11.2,34
ningxia_irrigation,1981-01-15,-0.5,-9.3,0.0,1.14,11.65,7.9,38
ningxia_irrigation,1981-01-16,2.3,-9.9,0.0,1.23,11.69,8.6,40
ningxia_irrigation,1981-01-17,3.5,-9.2,0.0,1.25,11.77,7.6,50
ningxia_irrigation,1981-01-18,0.6,-8.6,0.0,0.99,9.51,6.6,45
ningxia_irrigation,1981-01-19,2.9,-10.8,0.0,1.24,11.82,9.0,50
ningxia_irrigation,1981-01-20,1.5,-6.6,0.0,1.16,10.68,10.3,50
ningxia_irrigation,1981-01-21,1.6,-7.0,0.1,0.94,9.06,8.5,66
ningxia_irrigation,1981-01-22,0.2,-6.5,0.0,0.76,7.62,7.9,70
ningxia_irrigation,1981-01-23,-6.2,-11.8,0.0,0.84,11.1,9.4,55
ningxia_irrigation,1981-01-24,-7.6,-15.2,0.0,0.86,12.58,10.2,49
ningxia_irrigation,1981-01-25,-9.6,-16.0,0.3,0.69,8.77,8.8,47
ningxia_irrigation,1981-01-26,-9.5,-19.7,0.0,0.73,12.35,6.1,41
ningxia_irrigation,1981-01-27,-4.9,-18.1,0.0,0.94,12.67,5.1,44
ningxia_irrigation,1981-01-28,-1.9,-16.7,0.0,1.14,13.54,7.9,46
ningxia_irrigation,1981-01-29,-0.9,-10.0,0.0,1.19,12.61,8.5,48
ningxia_irrigation,1981-01-30,0.3,-14.6,0.0,1.12,11.02,8.3,45
ningxia_irrigation,1981-01-31,0.4,-11.8,0.0,1.38,13.84,7.7,36
ningxia_irrigation,1981-02-01,0.7,-15.1,0.0,1.37,14.09,8.1,34
ningxia_irrigation,1981-02-02,-0.9,-10.3,0.0,1.34,12.49,8.4,34
ningxia_irrigation,1981-02-03,2.7,-10.1,0.0,1.52,14.0,10.0,42
ningxia_irrigation,1981-02-04,2.4,-10.1,0.0,1.37,13.78,6.8,46
ningxia_irrigation,1981-02-05,3.7,-7.0,0.0,1.53,14.27,6.6,33
ningxia_irrigation,1981-02-06,2.4,-11.1,0.0,1.47,14.89,6.8,35
ningxia_irrigation,1981-02-07,3.9,-8.7,0.0,1.75,12.91,14.0,31
ningxia_irrigation,1981-02-08,1.1,-8.6,0.0,1.63,14.45,19.9,39
ningxia_irrigation,1981-02-09,0.6,-13.1,0.0,1.51,15.32,7.3,30
ningxia_irrigation,1981-02-10,4.5,-12.1,0.0,1.83,15.59,10.4,26
ningxia_irrigation,1981-02-11,9.0,-7.8,0.0,2.21,14.26,14.8,26
ningxia_irrigation,1981-02-12,8.0,-7.3,0.0,2.16,15.38,11.1,31
ningxia_irrigation,1981-02-13,9.8,-6.0,0.0,2.14,15.06,6.8,26
ningxia_irrigation,1981-02-14,9.1,-2.8,0.0,2.26,15.55,12.6,29
ningxia_irrigation,1981-02-15,1.9,-5.1,0.0,1.29,9.37,8.9,40
ningxia_irrigation,1981-02-16,7.2,-5.0,0.0,1.75,14.86,10.5,47
ningxia_irrigation,1981-02-17,7.4,-2.7,0.0,1.9,15.18,10.8,51
ningxia_irrigation,1981-02-18,6.6,-6.3,0.0,1.9,15.44,13.9,37
ningxia_irrigation,1981-02-19,0.7,-7.7,0.1,1.57,11.97,19.8,42
ningxia_irrigation,1981-02-20,6.8,-10.8,0.0,2.29,17.32,12.8,23
ningxia_irrigation,1981-02-21,8.1,-6.9,0.0,2.1,15.61,8.0,26
ningxia_irrigation,1981-02-22,2.7,-5.9,0.0,1.67,12.91,13.7,35
ningxia_irrigation,1981-02-23,-5.0,-11.6,0.0,1.39,14.39,25.6,25
ningxia_irrigation,1981-02-24,-4.5,-14.6,0.0,1.57,18.09,22.9,17
ningxia_irrigation,1981-02-25,-2.7,-17.0,0.0,1.66,18.38,9.3,15
ningxia_irrigation,1981-02-26,1.4,-12.1,0.0,1.95,17.8,10.5,17
ningxia_irrigation,1981-02-27,6.9,-7.4,0.0,2.16,16.86,10.6,37
ningxia_irrigation,1981-02-28,4.6,-4.6,0.0,1.92,15.57,9.2,24
ningxia_irrigation,1981-03-01,10.2,-5.9,0.0,2.63,18.11,13.8,27
ningxia_irrigation,1981-03-02,9.2,-2.0,0.0,2.32,14.79,16.9,46
