site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
shaanxi_guanzhong,1981-01-01,3.9,-4.3,0.0,1.27,11.91,8.3,49
shaanxi_guanzhong,1981-01-02,3.6,-6.1,0.0,1.38,11.53,8.9,37
shaanxi_guanzhong,1981-01-03,6.0,-4.1,0.0,1.31,11.26,7.9,47
shaanxi_guanzhong,1981-01-04,4.9,-3.4,0.0,1.19,9.17,8.7,52
shaanxi_guanzhong,1981-01-05,-0.4,-3.3,1.4,0.69,5.45,10.3,69
shaanxi_guanzhong,1981-01-06,-0.5,-4.0,1.4,0.55,5.26,6.1,78
shaanxi_guanzhong,1981-01-07,1.5,-4.7,0.2,0.86,9.16,5.9,78
shaanxi_guanzhong,1981-01-08,4.3,-2.9,0.0,0.82,7.26,4.0,74
shaanxi_guanzhong,1981-01-09,5.5,-3.7,0.4,1.26,11.25,7.9,65
shaanxi_guanzhong,1981-01-10,4.4,-6.4,0.0,1.31,12.95,7.9,51
shaanxi_guanzhong,1981-01-11,6.4,-6.4,0.0,1.38,13.06,4.7,53
shaanxi_guanzhong,1981-01-12,8.0,-6.0,0.0,1.45,12.94,3.9,56
shaanxi_guanzhong,1981-01-13,10.6,-5.6,0.0,1.48,11.87,4.8,53
shaanxi_guanzhong,1981-01-14,13.0,-2.7,0.0,1.7,13.28,7.0,60
shaanxi_guanzhong,1981-01-15,6.5,-2.7,0.0,1.48,13.15,7.4,48
shaanxi_guanzhong,1981-01-16,5.1,-2.8,0.0,1.44,11.8,9.4,43
shaanxi_guanzhong,1981-01-17,8.8,-3.1,0.0,1.47,12.5,5.5,54
shaanxi_guanzhong,1981-01-18,6.7,-4.5,0.0,1.27,10.66,8.7,65
shaanxi_guanzhong,1981-01-19,7.0,-5.8,0.0,1.56,12.97,10.5,59
shaanxi_guanzhong,1981-01-20,1.5,-1.2,3.9,0.62,4.76,7.7,77
shaanxi_guanzhong,1981-01-21,2.0,-2.2,0.0,0.8,7.64,13.7,80
shaanxi_guanzhong,1981-01-22,-0.6,-3.5,3.7,0.64,5.32,13.6,79
shaanxi_guanzhong,1981-01-23,0.1,-4.2,2.2,0.85,9.1,9.2,76
shaanxi_guanzhong,1981-01-24,-2.3,-6.7,0.0,1.02,12.09,7.4,63
shaanxi_guanzhong,1981-01-25,-5.5,-7.3,0.2,0.59,7.54,5.2,68
shaanxi_guanzhong,1981-01-26,-5.4,-10.9,0.0,0.78,12.24,9.5,67
shaanxi_guanzhong,1981-01-27,-3.1,-8.7,0.0,0.96,13.71,7.8,57
shaanxi_guanzhong,1981-01-28,-0.5,-8.1,0.0,1.19,14.8,5.8,61
shaanxi_guanzhong,1981-01-29,-0.2,-7.7,0.0,0.9,9.71,3.3,65
shaanxi_guanzhong,1981-01-30,1.8,-8.3,0.0,1.17,12.52,4.5,68
shaanxi_guanzhong,1981-01-31,5.9,-5.5,0.0,1.63,15.31,6.6,57
shaanxi_guanzhong,1981-02-01,5.5,-6.2,0.0,1.68,15.24,8.2,50
shaanxi_guanzhong,1981-02-02,6.4,-5.9,0.0,1.73,15.1,6.9,51
shaanxi_guanzhong,1981-02-03,6.8,-6.0,0.0,1.73,15.1,11.9,52
shaanxi_guanzhong,1981-02-04,6.2,-2.7,0.0,1.46,13.17,10.2,64
shaanxi_guanzhong,1981-02-05,6.4,-1.7,0.0,1.29,11.16,4.9,66
shaanxi_guanzhong,1981-02-06,9.9,-3.1,0.0,2.04,15.91,8.9,57
shaanxi_guanzhong,1981-02-07,6.8,-2.0,0.0,1.19,8.7,7.4,58
shaanxi_guanzhong,1981-02-08,10.0,-2.4,0.0,2.1,16.23,12.0,50
shaanxi_guanzhong,1981-02-09,4.6,-4.0,0.0,1.24,9.12,7.8,44
shaanxi_guanzhong,1981-02-10,9.2,-4.1,0.0,1.99,16.4,4.4,52
shaanxi_guanzhong,1981-02-11,12.5,-2.1,0.0,2.06,15.76,8.4,57
shaanxi_guanzhong,1981-02-12,10.2,-1.2,0.0,1.1,7.46,3.6,71
shaanxi_guanzhong,1981-02-13,14.1,-2.8,0.0,2.32,16.6,8.6,66
shaanxi_guanzhong,1981-02-14,14.6,-0.6,0.0,2.17,15.38,7.3,62
shaanxi_guanzhong,1981-02-15,6.2,2.0,12.8,0.43,2.31,10.2,86
shaanxi_guanzhong,1981-02-16,5.3,0.4,2.9,0.81,6.1,12.1,83
shaanxi_guanzhong,1981-02-17,8.8,-1.0,1.0,1.77,15.43,11.0,72
shaanxi_guanzhong,1981-02-18,7.1,-0.7,1.9,1.0,7.57,6.1,81
shaanxi_guanzhong,1981-02-19,8.3,-0.4,0.6,1.43,9.35,12.3,68
shaanxi_guanzhong,1981-02-20,8.4,-4.5,0.0,2.27,17.53,9.9,42
shaanxi_guanzhong,1981-02-21,10.1,-0.7,0.0,1.73,12.84,7.9,58
shaanxi_guanzhong,1981-02-22,9.9,-1.5,0.0,1.36,9.76,6.7,74
shaanxi_guanzhong,1981-02-23,5.5,-2.3,0.3,1.22,6.72,16.2,53
shaanxi_guanzhong,1981-02-24,3.4,-3.1,0.0,1.54,12.94,4.9,31
shaanxi_guanzhong,1981-02-25,3.3,-5.4,0.0,2.09,19.37,8.6,29
shaanxi_guanzhong,1981-02-26,4.3,-5.5,0.5,1.91,13.6,15.1,36
shaanxi_guanzhong,1981-02-27,7.9,-3.3,0.0,2.09,16.91,13.2,52
shaanxi_guanzhong,1981-02-28,7.3,-1.3,0.2,1.46,11.8,6.2,59
shaanxi_guanzhong,1981-03-01,10.4,-1.5,0.1,2.08,15.15,14.1,62
shaanxi_guanzhong,1981-03-02,7.7,-0.2,0.1,1.38,10.67,9.3,69
shaanxi_guanzhong,1981-03-03,10.7,-0.4,0.0,2.01,13.1,10.5,57
shaanxi_guanzhong,1981-03-04,12.7,-1.9,0.0,2.7,20.02,5.8,49
shaanxi_guanzhong,1981-03-05,10.6,-1.0,0.0,1.72,11.5,8.3,56
shaanxi_guanzhong,1981-03-06,13.4,-2.0,0.0,2.83,20.45,6.9,48
shaanxi_guanzhong,1981-03-07,17.0,-0.2,0.0,3.05,16.72,13.0,53
shaanxi_guanzhong,1981-03-08,14.3,1.4,0.0,2.84,15.18,14.9,35
shaanxi_guanzhong,1981-03-09,15.6,-0.2,0.0,2.65,16.88,9.1,39
shaanxi_guanzhong,1981-03-10,16.8,4.5,0.0,2.73,17.32,9.0,49
shaanxi_guanzhong,1981-03-11,16.3,5.1,0.0,2.61,16.53,9.2,60
shaanxi_guanzhong,1981-03-12,16.3,7.1,0.3,2.3,14.34,5.8,56
shaanxi_guanzhong,1981-03-13,18.7,5.3,0.0,2.72,15.36,7.9,54
shaanxi_guanzhong,1981-03-14,14.3,4.3,0.0,2.7,16.63,7.2,32
shaanxi_guanzhong,1981-03-15,16.2,3.4,0.0,3.03,18.07,11.2,33
shaanxi_guanzhong,1981-03-16,17.5,4.4,0.0,2.94,18.41,6.6,54
shaanxi_guanzhong,1981-03-17,18.9,4.2,0.0,2.84,16.82,5.8,61
shaanxi_guanzhong,1981-03-18,21.2,4.0,0.0,3.67,21.49,5.4,55
shaanxi_guanzhong,1981-03-19,18.8,5.8,2.7,2.11,11.35,11.2,66
shaanxi_guanzhong,1981-03-20,21.0,3.0,0.0,3.96,22.64,14.1,61
shaanxi_guanzhong,1981-03-21,18.9,8.7,0.0,2.74,15.79,8.8,62
shaanxi_guanzhong,1981-03-22,22.0,8.0,0.0,3.85,20.43,15.1,64
